70 *A Disaggregate_First,.EXCEL_FIRST,M193ATF@WDI,M122ATF@WDI,M124ATF@WDI,M156ATF@WDI,M228ATF@WDI,M935ATF@WDI,M128ATF@WDI,M939ATF@WDI,M172ATF@WDI,M132ATF@WDI,M134ATF@WDI,M174ATF@WDI,M944ATF@WDI,M176ATF@WDI,M178ATF@WDI,M436ATF@WDI,M136ATF@WDI,M158ATF@WDI,M542ATF@WDI,M137ATF@WDI,M273ATF@WDI,M138ATF@WDI,M196ATF@WDI,M142ATF@WDI,M964ATF@WDI,M182ATF@WDI,M936ATF@WDI,M961ATF@WDI,M184ATF@WDI,M144ATF@WDI,M146ATF@WDI,M186ATF@WDI,M112ATF@WDI,M111ATF@WDI,M223ATF@WDI,M922ATF@WDI,M534ATF@WDI,M924ATF@WDI,M536ATF@WDI,M564ATF@WDI,M578ATF@WDI,M199ATF@WDI,M694ATF@WDI,M566ATF@WDI,M548ATF@WDI,M213ATF@WDI,M926ATF@WDI,M001ATF@WDI,M009ATF@WDI,M997ATF@WDI,M025ATF@WDI,MALSATF@WDI,M506ATF@WDI,MEASATF@WDI,MECSATF@WDI,MLCNATF@WDI,MMEAATF@WDI,MSSFATF@WDI,
.DESC,,"Australia: Air Transport, Freight (Million Ton-Km)  ","Austria: Air Transport, Freight (Million Ton-Km)  ","Belgium: Air Transport, Freight (Million Ton-Km)  ","Canada: Air Transport, Freight (Million Ton-Km)  ","Chile: Air Transport, Freight (Million Ton-Km)  ","Czech Rep: Air Transport, Freight (Million Ton-Km)  ","Denmark: Air Transport, Freight (Million Ton-Km)  ","Estonia: Air Transport, Freight (Million Ton-Km)  ","Finland: Air Transport, Freight (Million Ton-Km)  ","France: Air Transport, Freight (Million Ton-Km)  ","Germany: Air Transport, Freight (Million Ton-Km)  ","Greece: Air Transport, Freight (Million Ton-Km)  ","Hungary: Air Transport, Freight (Million Ton-Km)  ","Iceland: Air Transport, Freight (Million Ton-Km)  ","Ireland: Air Transport, Freight (Million Ton-Km)  ","Israel: Air Transport, Freight (Million Ton-Km)  ","Italy: Air Transport, Freight (Million Ton-Km)  ","Japan: Air Transport, Freight (Million Ton-Km)  ","Korea: Air Transport, Freight (Million Ton-Km)  ","Luxembourg: Air Transport, Freight (Million Ton-Km)  ","Mexico: Air Transport, Freight (Million Ton-Km)  ","Netherlands: Air Transport, Freight (Million Ton-Km)  ","New Zealand: Air Transport, Freight (Million Ton-Km)  ","Norway: Air Transport, Freight (Million Ton-Km)  ","Poland: Air Transport, Freight (Million Ton-Km)  ","Portugal: Air Transport, Freight (Million Ton-Km)  ","Slovak Rep: Air Transport, Freight (Million Ton-Km)  ","Slovenia: Air Transport, Freight (Million Ton-Km)  ","Spain: Air Transport, Freight (Million Ton-Km)  ","Sweden: Air Transport, Freight (Million Ton-Km)  ","Switzerland: Air Transport, Freight (Million Ton-Km)  ","Turkey: Air Transport, Freight (Million Ton-Km)  ","UK: Air Transport, Freight (Million Ton-Km)  ","U.S.: Air Transport, Freight (Million Ton-Km)  ","Brazil: Air Transport, Freight (Million Ton-Km)  ","Russia: Air Transport, Freight (Million Ton-Km)  ","India: Air Transport, Freight (Million Ton-Km)  ","China: Air Transport, Freight (Million Ton-Km)  ","Indonesia: Air Transport, Freight (Million Ton-Km)  ","Pakistan: Air Transport, Freight (Million Ton-Km)  ","Thailand: Air Transport, Freight (Million Ton-Km)  ","South Africa: Air Transport, Freight (Million Ton-Km)  ","Nigeria: Air Transport, Freight (Million Ton-Km)  ","Philippines: Air Transport, Freight (Million Ton-Km)  ","Malaysia: Air Transport, Freight (Million Ton-Km)  ","Argentina: Air Transport, Freight (Million Ton-Km)  ","Ukraine: Air Transport, Freight (Million Ton-Km)  ","World: Air Transport, Freight (Million Ton-Km)  ","North America: Air Transport, Freight (Million Ton-Km)  ","European Union: Air Transport, Freight (Million Ton-Km)  ","Euro Area: Air Transport, Freight (Million Ton-Km)  ","Arab League states: Air Transport, Freight (Million Ton-Km)  ","South Asia: Air Transport, Freight (Million Ton-Km)  ","East Asia & Pacific: Air Transport, Freight (Million Ton-Km)  ","Europe & Central Asia: Air Transport, Freight (Million Ton-Km)  ","Latin America & the Caribbean: Air Transport, Freight (Million Ton-Km)  ","Middle East & North Africa: Air Transport, Freight (Million Ton-Km)  ","Sub-Saharan Africa: Air Transport, Freight (Million Ton-Km)  ",
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,
70,70, 234.7 , 5.9 , 184.0 , 370.9 , 41.1 , 11.6 , 62.7 ,#N/A, 21.3 , 474.6 , 484.5 , 31.1 , 6.2 , 10.7 , 57.7 , 98.4 , 275.2 , 379.6 , 5.6 ,#N/A, 36.7 , 376.9 , 35.8 , 63.6 , 6.2 , 37.0 ,#N/A,#N/A, 90.8 , 97.6 , 169.1 , 4.6 , 516.9 ," 5,151.2 ", 164.1 ,#N/A, 96.3 ,#N/A, 14.2 , 69.6 , 9.3 , 56.8 , 5.3 , 21.7 , 9.3 , 47.9 ,#N/A,#N/A," 5,522.1 "," 2,756.8 "," 2,043.6 ", 199.3 , 175.7 ,#N/A,#N/A, 519.6 , 300.4 , 209.0 ,
71,71, 230.7 , 3.1 , 202.4 , 403.5 , 46.8 , 12.4 , 64.4 ,#N/A, 23.8 , 487.7 , 532.9 , 32.4 , 7.6 , 17.7 , 64.8 , 114.9 , 302.2 , 464.1 , 38.0 ,#N/A, 42.4 , 408.4 , 41.5 , 65.6 , 6.5 , 48.5 ,#N/A,#N/A, 131.6 , 100.1 , 181.9 , 5.7 , 564.9 ," 5,540.8 ", 180.2 ,#N/A, 108.4 ,#N/A, 17.6 , 63.4 , 38.3 , 63.9 , 6.5 , 31.6 , 14.6 , 57.4 ,#N/A,#N/A," 5,944.3 "," 3,009.4 "," 2,242.1 ", 271.0 , 176.2 ,#N/A,#N/A, 567.6 , 390.0 , 237.0 ,
72,72, 220.2 , 4.7 , 224.5 , 433.4 , 52.7 , 15.4 , 77.9 ,#N/A, 24.6 , 619.0 , 656.6 , 42.2 , 5.9 , 17.5 , 78.3 , 105.0 , 282.2 , 585.1 , 72.7 ,#N/A, 54.3 , 461.0 , 48.7 , 79.4 , 7.6 , 55.3 ,#N/A,#N/A, 154.9 , 119.6 , 198.2 , 6.8 , 714.1 ," 6,283.0 ", 254.3 ,#N/A, 131.1 ,#N/A, 19.9 , 52.0 , 18.6 , 75.8 , 7.0 , 36.9 , 16.2 , 79.7 ,#N/A,#N/A," 6,716.4 "," 3,559.6 "," 2,607.9 ", 355.1 , 187.9 ,#N/A,#N/A, 687.4 , 463.8 , 255.6 ,
73,73, 266.6 , 6.3 , 238.6 , 484.2 , 46.7 , 14.6 , 83.3 ,#N/A, 29.7 , 757.6 , 826.8 , 53.9 , 5.8 , 29.2 , 86.8 , 129.5 , 406.4 , 753.1 , 125.3 ,#N/A, 67.6 , 498.5 , 68.6 , 85.4 , 9.5 , 90.5 ,#N/A,#N/A, 172.0 , 127.6 , 236.6 , 10.0 , 843.9 ," 7,060.1 ", 316.7 ,#N/A, 176.5 ,#N/A, 27.7 , 70.6 , 28.7 , 112.7 , 7.2 , 46.8 , 8.3 , 85.9 ,#N/A," 15,568.7 "," 7,544.3 "," 4,268.7 "," 3,171.8 ", 492.9 , 252.8 ,#N/A,#N/A, 791.8 , 626.5 , 325.0 ,
74,74, 315.3 , 6.8 , 286.1 , 520.3 , 55.2 , 14.5 , 93.8 ,#N/A, 29.8 , 871.3 , 941.0 , 47.8 , 6.0 , 28.0 , 88.2 , 143.6 , 437.6 , 739.4 , 200.3 ,#N/A, 67.5 , 609.0 , 110.3 , 96.0 , 10.3 , 106.4 ,#N/A,#N/A, 199.5 , 143.0 , 272.2 , 10.2 , 847.3 ," 7,255.4 ", 407.1 ,#N/A, 144.7 , 29.2 , 41.3 , 90.4 , 58.8 , 143.6 , 6.7 , 67.5 , 19.1 , 98.2 ,#N/A," 16,955.2 "," 7,775.7 "," 4,756.1 "," 3,628.0 ", 556.6 , 254.3 ," 1,698.1 ",#N/A, 962.3 , 703.2 , 401.7 ,
75,75, 326.5 , 6.5 , 281.2 , 534.3 , 57.2 , 14.3 , 87.9 ,#N/A, 28.6 , 995.3 , 920.7 , 32.5 , 5.6 , 20.6 , 68.7 , 131.0 , 396.6 , 852.9 , 293.2 ,#N/A, 76.2 , 586.7 , 114.5 , 91.1 , 10.2 , 67.5 ,#N/A,#N/A, 214.7 , 134.4 , 285.8 , 9.7 , 797.7 ," 6,999.6 ", 460.5 ,#N/A, 211.3 , 46.2 , 42.9 , 125.3 , 101.7 , 142.3 , 4.3 , 100.2 , 26.8 , 74.6 ,#N/A," 17,236.2 "," 7,533.9 "," 4,668.0 "," 3,602.6 ", 654.8 , 356.5 ," 2,060.5 ",#N/A, 988.1 , 807.4 , 417.1 ,
76,76, 354.2 , 8.1 , 316.7 , 567.7 , 75.7 , 13.9 , 101.4 ,#N/A, 30.1 ," 1,278.9 "," 1,040.5 ", 52.8 , 5.2 , 27.4 , 74.9 , 126.9 , 443.9 ," 1,030.8 ", 348.2 ,#N/A, 87.1 , 631.9 , 136.7 , 105.4 , 10.6 , 68.0 ,#N/A,#N/A, 264.3 , 154.5 , 320.9 , 14.3 , 866.4 ," 7,438.2 ", 471.6 ,#N/A, 250.7 , 49.0 , 43.6 , 144.1 , 122.3 , 146.3 , 3.6 , 130.8 , 33.4 , 96.3 ,#N/A," 19,300.3 "," 8,005.9 "," 5,389.4 "," 4,219.8 ", 838.3 , 421.0 ," 2,437.5 ",#N/A," 1,100.2 "," 1,016.6 ", 465.2 ,
77,77, 376.1 , 9.2 , 338.9 , 550.4 , 105.2 , 14.0 , 113.2 ,#N/A, 35.5 ," 1,557.4 "," 1,204.2 ", 52.9 , 5.5 , 28.2 , 85.8 , 174.1 , 503.9 ," 1,147.5 ", 394.4 ,#N/A, 92.3 , 719.4 , 140.7 , 117.3 , 11.8 , 85.6 ,#N/A,#N/A, 324.2 , 170.8 , 350.9 , 15.1 , 984.1 ," 7,920.6 ", 499.3 ,#N/A, 275.9 , 60.0 , 52.1 , 161.6 , 104.7 , 173.8 , 4.1 , 129.7 , 45.0 , 119.8 ,#N/A," 21,322.8 "," 8,471.0 "," 6,257.5 "," 4,937.2 ", 885.1 , 472.3 ," 2,709.0 ",#N/A," 1,308.3 "," 1,116.4 ", 480.8 ,
