70 *A Disaggregate_First,.EXCEL_FIRST,M193ATPC@WDI,M122ATPC@WDI,M124ATPC@WDI,M156ATPC@WDI,M228ATPC@WDI,M935ATPC@WDI,M128ATPC@WDI,M939ATPC@WDI,M172ATPC@WDI,M132ATPC@WDI,M134ATPC@WDI,M174ATPC@WDI,M944ATPC@WDI,M176ATPC@WDI,M178ATPC@WDI,M436ATPC@WDI,M136ATPC@WDI,M158ATPC@WDI,M542ATPC@WDI,M137ATPC@WDI,M273ATPC@WDI,M138ATPC@WDI,M196ATPC@WDI,M142ATPC@WDI,M964ATPC@WDI,M182ATPC@WDI,M936ATPC@WDI,M961ATPC@WDI,M184ATPC@WDI,M144ATPC@WDI,M146ATPC@WDI,M186ATPC@WDI,M112ATPC@WDI,M111ATPC@WDI,M223ATPC@WDI,M922ATPC@WDI,M534ATPC@WDI,M924ATPC@WDI,M536ATPC@WDI,M564ATPC@WDI,M578ATPC@WDI,M199ATPC@WDI,M694ATPC@WDI,M566ATPC@WDI,M548ATPC@WDI,M213ATPC@WDI,M926ATPC@WDI,M001ATPC@WDI,M009ATPC@WDI,M997ATPC@WDI,M025ATPC@WDI,MALSATPC@WDI,M506ATPC@WDI,MEASATPC@WDI,M505ATPC@WDI,MECSATPC@WDI,MLCNATPC@WDI,M505ATPC@WDI,MMEAATPC@WDI,MSSFATPC@WDI,,
.DESC,,"Australia: Air Transport, Passengers Carried (Mil)  ","Austria: Air Transport, Passengers Carried (Mil)  ","Belgium: Air Transport, Passengers Carried (Mil)  ","Canada: Air Transport, Passengers Carried (Mil)  ","Chile: Air Transport, Passengers Carried (Mil)  ","Czech Rep: Air Transport, Passengers Carried (Mil)  ","Denmark: Air Transport, Passengers Carried (Mil)  ","Estonia: Air Transport, Passengers Carried (Mil)  ","Finland: Air Transport, Passengers Carried (Mil)  ","France: Air Transport, Passengers Carried (Mil)  ","Germany: Air Transport, Passengers Carried (Mil)  ","Greece: Air Transport, Passengers Carried (Mil)  ","Hungary: Air Transport, Passengers Carried (Mil)  ","Iceland: Air Transport, Passengers Carried (Mil)  ","Ireland: Air Transport, Passengers Carried (Mil)  ","Israel: Air Transport, Passengers Carried (Mil)  ","Italy: Air Transport, Passengers Carried (Mil)  ","Japan: Air Transport, Passengers Carried (Mil)  ","Korea: Air Transport, Passengers Carried (Mil)  ","Luxembourg: Air Transport, Passengers Carried (Mil)  ","Mexico: Air Transport, Passengers Carried (Mil)  ","Netherlands: Air Transport, Passengers Carried (Mil)  ","New Zealand: Air Transport, Passengers Carried (Mil)  ","Norway: Air Transport, Passengers Carried (Mil)  ","Poland: Air Transport, Passengers Carried (Mil)  ","Portugal: Air Transport, Passengers Carried (Mil)  ","Slovak Rep: Air Transport, Passengers Carried (Mil)  ","Slovenia: Air Transport, Passengers Carried (Mil)  ","Spain: Air Transport, Passengers Carried (Mil)  ","Sweden: Air Transport, Passengers Carried (Mil)  ","Switzerland: Air Transport, Passengers Carried (Mil)  ","Turkey: Air Transport, Passengers Carried (Mil)  ","UK: Air Transport, Passengers Carried (Mil)  ","U.S.: Air Transport, Passengers Carried (Mil)  ","Brazil: Air Transport, Passengers Carried (Mil)  ","Russia: Air Transport, Passengers Carried (Mil)  ","India: Air Transport, Passengers Carried (Mil)  ","China: Air Transport, Passengers Carried (Mil)  ","Indonesia: Air Transport, Passengers Carried (Mil)  ","Pakistan: Air Transport, Passengers Carried (Mil)  ","Thailand: Air Transport, Passengers Carried (Mil)  ","South Africa: Air Transport, Passengers Carried (Mil)  ","Nigeria: Air Transport, Passengers Carried (Mil)  ","Philippines: Air Transport, Passengers Carried (Mil)  ","Malaysia: Air Transport, Passengers Carried (Mil)  ","Argentina: Air Transport, Passengers Carried (Mil)  ","Ukraine: Air Transport, Passengers Carried (Mil)  ","World: Air Transport, Passengers Carried (Mil)  ","North America: Air Transport, Passengers Carried(Mil)  ","European Union: Air Transport, Passengers Carried(Mil)  ","Euro Area: Air Transport, Passengers Carried (Mil)  ","Arab League states: Air Transport, Passengers Carried(Mil)  ","South Asia: Air Transport, Passengers Carried (Mil)  ","East Asia & Pacific: Air Transport, Passengers Carried (Mil.)  ","East Asia & Pacific [Developing Only]: Air Transport, Passengers Carried (Mil)  ","Europe & Central Asia: Air Transport, Passengers Carried (Mil.)  ","Latin America & the Caribbean: Air Transport, Passengers Carried (Mil.)  ","East Asia & Pacific [Developing Only]: Air Transport, Passengers Carried (Mil)  ","Middle East & North Africa: Air Transport, Passengers Carried (Mil.)  ","Sub-Saharan Africa: Air Transport, Passengers Carried (Mil.)  ",,
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,,
70,70, 7.3 , 0.5 , 1.4 , 10.2 , 0.6 , 1.2 , 1.8 ,#N/A, 1.3 , 9.1 , 6.5 , 1.6 , 0.3 , 0.5 , 1.5 , 0.5 , 6.7 , 16.3 , 1.2 , 0.2 , 3.0 , 2.9 , 1.9 , 2.4 , 0.9 , 1.4 ,#N/A,#N/A, 6.4 , 2.6 , 3.4 , 1.0 , 15.6 , 163.5 , 3.3 ,#N/A, 2.7 ,#N/A, 0.8 , 1.3 , 0.8 , 1.5 , 0.2 , 2.4 , 0.8 , 2.3 ,#N/A, 310.4 , 173.6 , 63.3 , 39.6 , 4.2 , 4.4 ,#N/A,#N/A,#N/A, 17.7 ,#N/A, 5.3 , 4.6 ,,
71,71, 7.3 , 0.6 , 1.4 , 10.3 , 0.7 , 1.1 , 2.1 ,#N/A, 1.4 , 9.6 , 7.0 , 2.0 , 0.3 , 0.5 , 1.5 , 1.1 , 7.6 , 17.9 , 1.5 , 0.3 , 3.1 , 3.0 , 1.9 , 2.8 , 1.0 , 1.7 ,#N/A,#N/A, 7.5 , 2.9 , 3.9 , 1.5 , 15.8 , 174.1 , 3.9 ,#N/A, 2.6 ,#N/A, 1.0 , 1.1 , 0.7 , 1.7 , 0.2 , 2.1 , 0.9 , 2.2 ,#N/A, 331.6 , 184.4 , 68.4 , 43.9 , 4.7 , 4.1 ,#N/A,#N/A,#N/A, 18.8 ,#N/A, 6.4 , 5.0 ,,
72,72, 7.8 , 0.7 , 1.5 , 11.6 , 0.7 , 1.4 , 2.3 ,#N/A, 1.5 , 11.3 , 7.9 , 2.4 , 0.3 , 0.6 , 1.4 , 1.1 , 7.5 , 20.2 , 1.6 , 0.2 , 4.0 , 3.3 , 2.1 , 3.1 , 1.3 , 2.0 ,#N/A,#N/A, 8.7 , 3.0 , 4.1 , 1.8 , 17.3 , 191.3 , 4.7 ,#N/A, 3.3 ,#N/A, 1.3 , 0.6 , 0.8 , 1.9 , 0.3 , 2.1 , 1.0 , 2.4 ,#N/A,#N/A, 203.0 , 75.6 , 48.6 , 5.6 , 4.4 ,#N/A,#N/A,#N/A, 21.1 ,#N/A, 7.5 , 5.4 ,,
73,73, 9.4 , 0.8 , 1.6 , 14.6 , 0.6 , 1.4 , 2.4 ,#N/A, 1.7 , 12.0 , 7.4 , 2.8 , 0.3 , 0.6 , 1.5 , 1.2 , 8.2 , 25.4 , 2.2 , 0.2 , 4.6 , 3.7 , 2.5 , 3.3 , 1.5 , 2.3 ,#N/A,#N/A, 10.0 , 3.2 , 4.5 , 2.2 , 19.0 , 202.3 , 5.8 ,#N/A, 3.4 ,#N/A, 1.8 , 0.8 , 1.0 , 2.3 , 0.3 , 2.4 , 1.9 , 2.3 ,#N/A, 401.6 , 216.9 , 81.9 , 52.4 , 6.6 , 5.1 ,#N/A,#N/A,#N/A, 22.8 ,#N/A, 8.7 , 6.3 ,,
74,74, 10.7 , 0.8 , 1.6 , 16.4 , 0.5 , 1.5 , 2.4 ,#N/A, 1.9 , 12.2 , 8.9 , 2.3 , 0.5 , 0.6 , 1.5 , 1.2 , 8.6 , 27.5 , 1.9 , 0.2 , 5.5 , 3.6 , 3.0 , 3.4 , 1.1 , 2.3 ,#N/A,#N/A, 10.2 , 3.4 , 4.6 , 1.8 , 18.1 , 207.6 , 6.9 ,#N/A, 3.0 , 0.7 , 2.2 , 1.1 , 1.3 , 2.8 , 0.4 , 2.5 , 2.3 , 2.9 ,#N/A, 421.2 , 224.0 , 83.0 , 54.4 , 8.2 , 5.0 , 55.0 , 10.5 ,#N/A, 26.5 , 10.5 , 10.6 , 6.8 ,,
75,75, 11.1 , 0.9 , 1.6 , 16.7 , 0.5 , 1.6 , 2.5 ,#N/A, 2.1 , 13.1 , 9.4 , 2.8 , 0.4 , 0.6 , 1.5 , 1.1 , 8.4 , 27.3 , 2.1 , 0.2 , 6.5 , 3.8 , 3.1 , 3.5 , 1.5 , 1.7 ,#N/A,#N/A, 11.0 , 3.5 , 4.7 , 1.8 , 18.1 , 204.9 , 7.8 ,#N/A, 3.8 , 1.0 , 2.5 , 1.5 , 1.6 , 2.9 , 0.6 , 2.8 , 2.5 , 3.3 ,#N/A, 432.3 , 221.6 , 86.1 , 56.7 , 10.2 , 6.2 , 57.0 , 11.8 ,#N/A, 30.7 , 11.8 , 13.0 , 7.3 ,,
76,76, 10.9 , 1.1 , 1.7 , 16.8 , 0.5 , 1.7 , 2.8 ,#N/A, 2.0 , 14.3 , 10.4 , 3.5 , 0.4 , 0.6 , 1.6 , 1.3 , 8.2 , 29.6 , 2.1 , 0.3 , 7.7 , 4.1 , 3.0 , 3.9 , 1.5 , 1.7 ,#N/A,#N/A, 11.8 , 3.9 , 5.1 , 2.4 , 19.5 , 223.0 , 8.8 ,#N/A, 4.5 , 1.1 , 3.1 , 2.0 , 1.6 , 3.0 , 0.8 , 2.8 , 2.7 , 3.3 ,#N/A, 471.8 , 239.9 , 93.1 , 61.1 , 13.3 , 7.4 , 60.2 , 12.6 ,#N/A, 34.0 , 12.6 , 16.9 , 8.6 ,,
77,77, 11.3 , 1.1 , 1.8 , 17.5 , 0.6 , 1.5 , 3.0 ,#N/A, 1.8 , 15.4 , 10.9 , 3.9 , 0.6 , 0.7 , 1.7 , 1.5 , 9.4 , 36.2 , 2.5 , 0.3 , 8.2 , 4.5 , 3.2 , 4.2 , 1.6 , 1.8 ,#N/A,#N/A, 13.3 , 3.9 , 5.4 , 2.8 , 19.5 , 240.1 , 9.5 ,#N/A, 5.2 , 1.1 , 3.8 , 2.3 , 1.3 , 3.1 , 1.1 , 3.0 , 2.9 , 3.9 ,#N/A, 513.3 , 257.6 , 99.0 , 66.5 , 16.1 , 8.5 , 69.2 , 13.6 ,#N/A, 37.1 , 13.6 , 20.3 , 8.8 ,,
