100 *A Disaggregate_First,.EXCEL_FIRST,M193CPT@WDI,M124CPT@WDI,M156CPT@WDI,M228CPT@WDI,M128CPT@WDI,M172CPT@WDI,M132CPT@WDI,M134CPT@WDI,M174CPT@WDI,M178CPT@WDI,M436CPT@WDI,M136CPT@WDI,M158CPT@WDI,M542CPT@WDI,M273CPT@WDI,M138CPT@WDI,M196CPT@WDI,M964CPT@WDI,M182CPT@WDI,M184CPT@WDI,M144CPT@WDI,M186CPT@WDI,M112CPT@WDI,M111CPT@WDI,M223CPT@WDI,M534CPT@WDI,M924CPT@WDI,M536CPT@WDI,M564CPT@WDI,M578CPT@WDI,M199CPT@WDI,M694CPT@WDI,M566CPT@WDI,M548CPT@WDI,M213CPT@WDI,M926CPT@WDI,M001CPT@WDI,M009CPT@WDI,M997CPT@WDI,M025CPT@WDI,M506CPT@WDI,MEASCPT@WDI,MECSCPT@WDI,MLCNCPT@WDI,MMEACPT@WDI
.DESC,,Australia: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Belgium: Container Port Traffic (Thous 20 Foot Units)  ,Canada: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Chile: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Denmark: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Finland: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,France: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Germany: Container Port Traffic (Thous 20 Foot Units)  ,Greece: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Ireland: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Israel: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Italy: Container Port Traffic (Thous 20 Foot Units)  ,Japan: Container Port Traffic (Thous 20 Foot Units)  ,Korea: Container Port Traffic (Thous 20 Foot Units)  ,Mexico: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Netherlands: Container Port Traffic (Thous 20 Foot Units)  ,New Zealand: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Poland: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Portugal: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Spain: Container Port Traffic (Thous 20 Foot Units)  ,Sweden: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Turkey: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,UK: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,U.S.: Container Port Traffic (Thous 20 Foot Units)  ,Brazil: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,India: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,China: Container Port Traffic (Thous 20 Foot Units)  ,Indonesia: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Pakistan: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Thailand: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,South Africa: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Nigeria: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Philippines: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Malaysia: Container Port Traffic (Thous 20 Foot Units)  ,Argentina: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,Ukraine: Container Port Traffic (Teu: 20 Foot Equivalent Units)  ,World: Container Port Traffic (Thous 20 Foot Units)  ,North America: Container Port Traffic (Ths.Teu: 20 Foot Equivalent Units)  ,European Union: Container Port Traffic (Ths.Teu: 20 Foot Equivalent Units)  ,Euro Area: Container Port Traffic (Thous 20 Foot Units)  ,South Asia: Container Port Traffic (Thous 20 Foot Units)  ,East Asia & Pacific: Container Port Traffic (Thous 20 Foot Units)  ,Europe & Central Asia: Container Port Traffic (Thous 20 Foot Units)  ,Latin America & the Caribbean: Container Port Traffic (Thous 20 Foot Units)  ,Middle East & North Africa: Container Port Traffic (Thous 20 Foot Units)  
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank 
00,00," 3,542,802 "," 5,058 "," 2,927,942 "," 1,253,131 "," 568,660 "," 928,318 "," 2,923,190 "," 7,696 "," 1,390,844 "," 721,395 ",#N/A," 6,919 "," 13,100 "," 9,030 "," 1,315,701 "," 6,407 "," 1,067,438 ",#N/A," 669,991 "," 5,790 "," 884,136 "," 1,591,739 "," 6,434,734 "," 28,300 "," 2,413,098 "," 2,450,656 "," 41,000 "," 3,797,948 ",#N/A," 3,178,779 "," 1,846,944 ",#N/A," 3,031,548 "," 4,642 "," 1,144,834 ",#N/A," 224,775 "," 31,228 "," 47,486 "," 39,585 "," 4,640 "," 111,180,913 "," 48,312,150 "," 15,860,053 ",#N/A
01,01," 3,774,845 "," 5,110 "," 2,890,388 "," 1,080,545 "," 457,386 "," 1,018,729 "," 2,997,774 "," 8,427 "," 1,412,286 "," 722,148 "," 1,378,259 "," 7,073 "," 13,127 "," 9,287 "," 1,358,136 "," 6,227 "," 1,139,143 "," 261,419 "," 733,941 "," 6,156 "," 851,219 "," 1,526,576 "," 7,058,054 "," 27,308 "," 2,323,801 "," 2,764,757 "," 44,726 "," 3,901,761 "," 878,892 "," 3,387,071 "," 2,021,183 ",#N/A," 3,090,952 "," 6,225 "," 663,811 ",#N/A," 235,075 "," 30,198 "," 49,730 "," 41,084 "," 5,857 "," 115,948,099 "," 50,660,187 "," 16,129,381 ",#N/A
02,02," 4,355,020 "," 5,826 "," 3,307,310 "," 1,167,880 "," 587,300 "," 1,086,720 "," 3,276,150 "," 9,253 "," 1,660,510 "," 775,310 "," 1,461,000 "," 7,950 "," 13,501 "," 11,720 "," 1,564,540 "," 6,798 "," 1,407,130 ",#N/A," 791,300 "," 6,664 "," 805,610 "," 2,297,380 "," 7,059,610 "," 29,677 "," 3,570,260 "," 3,208,380 "," 55,717 "," 4,539,880 ",#N/A," 3,799,090 "," 1,801,610 ",#N/A," 3,324,800 "," 8,752 "," 554,800 ",#N/A," 263,457 "," 32,984 "," 53,845 "," 45,369 "," 5,557 "," 137,479,148 "," 55,628,833 "," 15,090,170 ",#N/A
03,03," 4,758,428 "," 6,482 "," 3,631,072 "," 1,250,126 "," 888,729 "," 1,162,400 "," 3,565,963 "," 10,943 "," 1,908,121 "," 869,607 "," 1,548,080 "," 8,473 "," 15,056 "," 13,050 "," 1,693,791 "," 7,294 "," 1,520,592 "," 346,152 "," 86,003 "," 7,364 "," 858,320 "," 2,377,295 "," 6,700,066 "," 32,689 "," 4,230,474 "," 3,916,814 "," 61,898 "," 5,176,982 "," 787,559 "," 4,232,685 "," 2,378,881 "," 588,478 "," 3,468,471 "," 10,210 "," 1,025,055 ",#N/A," 296,996 "," 36,321 "," 58,332 "," 49,497 "," 7,289 "," 151,803,542 "," 60,321,993 "," 19,556,512 ",#N/A
04,04," 5,057,346 "," 7,280 "," 3,926,147 "," 1,658,672 "," 1,213,919 "," 1,307,092 "," 3,954,173 "," 12,479 "," 1,895,755 "," 924,885 "," 1,431,510 "," 9,468 "," 16,436 "," 14,363 "," 1,903,345 "," 8,482 "," 1,583,847 "," 428,373 "," 882,452 "," 8,270 "," 1,098,871 "," 2,960,746 "," 8,326,913 "," 34,902 "," 5,056,814 "," 4,332,863 "," 74,725 "," 5,369,297 "," 1,269,373 "," 4,847,000 "," 2,614,577 "," 512,610 "," 3,676,456 "," 11,511 "," 1,251,895 "," 398,080 "," 338,434 "," 38,828 "," 67,982 "," 56,464 "," 8,537 "," 174,201,309 "," 71,190,112 "," 22,294,663 ",#N/A
05,05," 5,191,013 "," 7,890 "," 4,163,424 "," 1,804,236 "," 913,960 "," 1,312,305 "," 4,000,847 "," 13,599 "," 1,779,030 "," 973,257 "," 1,712,339 "," 9,857 "," 17,055 "," 15,113 "," 2,144,345 "," 9,472 "," 1,603,195 ",#N/A," 904,696 "," 9,171 "," 1,253,195 "," 3,174,077 "," 8,249,587 "," 38,498 "," 5,652,149 "," 4,982,092 "," 67,245 "," 5,503,176 "," 1,686,355 "," 5,115,213 "," 3,111,121 ",#N/A," 3,633,559 "," 12,198 "," 1,490,372 "," 579,476 "," 376,268 "," 42,661 "," 71,623 "," 60,341 "," 9,933 "," 193,780,272 "," 75,798,358 "," 24,816,487 ",#N/A
06,06," 5,741,962 "," 8,708 "," 4,330,163 "," 2,126,811 "," 679,707 "," 1,416,404 "," 4,259,470 "," 15,010 "," 1,769,098 "," 1,089,252 "," 1,773,498 "," 9,731 "," 18,470 "," 15,514 "," 2,680,374 "," 10,047 "," 1,806,596 ",#N/A," 1,012,845 "," 10,033 "," 1,272,513 "," 3,683,497 "," 8,434,458 "," 40,897 "," 6,294,286 "," 6,141,148 "," 84,811 "," 4,316,296 "," 1,776,939 "," 5,574,490 "," 3,552,198 ",#N/A," 3,676,133 "," 13,419 "," 1,757,990 "," 729,758 "," 416,752 "," 45,227 "," 76,145 "," 64,609 "," 11,899 "," 217,761,320 "," 81,291,535 "," 28,018,282 ",#N/A
07,07," 6,290,090 "," 10,258 "," 4,413,927 "," 2,725,218 "," 775,117 "," 1,560,089 "," 4,984,492 "," 16,644 "," 1,820,349 "," 1,175,155 "," 1,957,328 "," 10,611 "," 19,165 "," 17,086 "," 1,661,288 "," 11,290 "," 2,311,569 "," 767,567 "," 1,348,539 "," 13,346 "," 1,288,280 "," 4,678,872 "," 8,625,102 "," 44,839 "," 6,464,724 "," 7,398,211 "," 103,823 "," 6,582,910 "," 1,935,882 "," 6,339,261 "," 3,734,165 ",#N/A," 4,351,271 "," 14,829 "," 1,874,259 "," 990,201 "," 489,818 "," 49,253 "," 89,925 "," 76,460 "," 14,047 "," 252,296,411 "," 97,542,316 "," 32,720,909 "," 36,285,930 "
