105 *A Disaggregate_First,.EXCEL_FIRST,I193LXE@WDI,I122LXE@WDI,I213LXE@WDI,I124LXE@WDI,I223LXE@WDI,I156LXE@WDI,I228LXE@WDI,I924LXE@WDI,I128LXE@WDI,I939LXE@WDI,I172LXE@WDI,I132LXE@WDI,I134LXE@WDI,I174LXE@WDI,I532LXE@WDI,I944LXE@WDI,I176LXE@WDI,I534LXE@WDI,I536LXE@WDI,I178LXE@WDI,I436LXE@WDI,I136LXE@WDI,I158LXE@WDI,I542LXE@WDI,I137LXE@WDI,I548LXE@WDI,I273LXE@WDI,I138LXE@WDI,I196LXE@WDI,I694LXE@WDI,I142LXE@WDI,I564LXE@WDI,I566LXE@WDI,I964LXE@WDI,I182LXE@WDI,I922LXE@WDI,I456LXE@WDI,I936LXE@WDI,I961LXE@WDI,I199LXE@WDI,I184LXE@WDI,I144LXE@WDI,I146LXE@WDI,I578LXE@WDI,I186LXE@WDI,I926LXE@WDI,I112LXE@WDI,I111LXE@WDI,I001LXE@WDI,I009LXE@WDI,I997LXE@WDI,I025LXE@WDI,I005LXE@WDI,IALSLXE@WDI,I506LXE@WDI,IEASLXE@WDI,IECSLXE@WDI,ILCNLXE@WDI,IMEALXE@WDI,ISSFLXE@WDI
.DESC,,Australia: Cost to Export (US$ per container)  ,Austria: Cost to Export (US$ per container)  ,Argentina: Cost to Export (US$ per container)  ,Belgium: Cost to Export (US$ per container)  ,Brazil: Cost to Export (US$ per container)  ,Canada: Cost to Export (US$ per container)  ,Chile: Cost to Export (US$ per container)  ,China: Cost to Export (US$ per container)  ,Denmark: Cost to Export (US$ per container)  ,Estonia: Cost to Export (US$ per container)  ,Finland: Cost to Export (US$ per container)  ,France: Cost to Export (US$ per container)  ,Germany: Cost to Export (US$ per container)  ,Greece: Cost to Export (US$ per container)  ,HK: Cost to Export (US$ per container)  ,Hungary: Cost to Export (US$ per container)  ,Iceland: Cost to Export (US$ per container)  ,India: Cost to Export (US$ per container)  ,Indonesia: Cost to Export (US$ per container)  ,Ireland: Cost to Export (US$ per container)  ,Israel: Cost to Export (US$ per container)  ,Italy: Cost to Export (US$ per container)  ,Japan: Cost to Export (US$ per container)  ,Korea: Cost to Export (US$ per container)  ,Luxembourg: Cost to Export (US$ per container)  ,Malaysia: Cost to Export (US$ per container)  ,Mexico: Cost to Export (US$ per container)  ,Netherlands: Cost to Export (US$ per container)  ,New Zealand: Cost to Export (US$ per container)  ,Nigeria: Cost to Export (US$ per container)  ,Norway: Cost to Export (US$ per container)  ,Pakistan: Cost to Export (US$ per container)  ,Philippines: Cost to Export (US$ per container)  ,Poland: Cost to Export (US$ per container)  ,Portugal: Cost to Export (US$ per container)  ,Russia: Cost to Export (US$ per container)  ,Saudi Arabia: Cost to Export (US$ per container)  ,Slovak Rep: Cost to Export (US$ per container)  ,Slovenia: Cost to Export (US$ per container)  ,South Africa: Cost to Export (US$ per container)  ,Spain: Cost to Export (US$ per container)  ,Sweden: Cost to Export (US$ per container)  ,Switzerland: Cost to Export (US$ per container)  ,Thailand: Cost to Export (US$ per container)  ,Turkey: Cost to Export (US$ per container)  ,Ukraine: Cost to Export (US$ per container)  ,UK: Cost to Export (US$ per container)  ,U.S.: Cost to Export (US$ per container)  ,World: Cost to Export (US$ per container)  ,North America: Cost to Export (US$ per container)  ,European Union: Cost to Export (US$ per container)  ,Euro Area: Cost to Export (US$ per container)  ,High Income {OECD}: Cost to Export (US$ per container)  ,Arab League states: Cost to Export (US$ per container)  ,South Asia: Cost to Export (US$ per container)  ,East Asia & Pacific: Cost to Export (US$ per container)  ,Europe & Central Asia: Cost to Export (US$ per container)  ,Latin America & the Caribbean: Cost to Export (US$ per container)  ,Middle East & North Africa: Cost to Export (US$ per container)  ,Sub-Saharan Africa: Cost to Export (US$ per container)  
.SOURCE,,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB 
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank 
.FRQ,,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual 
05,05, 930 , 858 ," 1,325 "," 1,221 ", 630 ," 1,435 ", 645 , 390 , 653 , 695 , 470 ," 1,235 ", 770 , 923 , 425 , 975 ," 1,269 ", 864 , 486 ," 1,090 ", 560 ," 1,267 ", 859 , 780 ,#N/A, 432 ," 1,302 ", 910 , 725 , 798 , 668 , 996 , 755 , 834 , 625 ," 1,600 ", 674 ," 1,015 ", 971 ," 1,087 "," 1,050 ", 581 ," 1,238 ", 848 , 713 ," 1,375 ", 990 , 960 ," 1,228 "," 1,198 ", 926 , 918 , 911 ," 1,112 "," 1,177 ", 870 ," 1,272 "," 1,044 ", 999 ," 1,623 "
06,06, 930 , 858 ," 1,325 "," 1,221 ", 630 ," 1,435 ", 645 , 390 , 653 , 695 , 470 ," 1,235 ", 770 , 923 , 525 , 975 ," 1,269 ", 864 , 486 ," 1,090 ", 560 ," 1,267 ", 859 , 780 ," 1,250 ", 432 ," 1,302 ", 910 , 725 ," 1,026 ", 668 , 515 , 755 , 834 , 625 ," 1,600 ", 674 ," 1,015 ", 971 ," 1,087 "," 1,050 ", 581 ," 1,238 ", 848 , 713 ," 1,375 ", 990 , 960 ," 1,221 "," 1,198 ", 930 , 938 , 921 ," 1,110 "," 1,117 ", 860 ," 1,251 "," 1,044 ", 997 ," 1,632 "
07,07, 930 , 898 ," 1,325 "," 1,221 ", 825 ," 1,435 ", 645 , 390 , 653 , 695 , 470 ," 1,235 ", 770 , 923 , 525 , 975 ," 1,269 ", 820 , 607 ," 1,090 ", 560 ," 1,267 ", 859 , 745 ," 1,250 ", 432 ," 1,302 ", 910 , 725 ," 1,026 ", 668 , 515 , 755 , 834 , 625 ," 1,600 ", 894 ," 1,015 ", 971 ," 1,087 "," 1,050 ", 581 ," 1,238 ", 615 , 865 ," 1,375 ", 990 , 960 ," 1,196 "," 1,198 ", 929 , 931 , 925 ," 1,030 "," 1,106 ", 807 ," 1,240 "," 1,007 ", 933 ," 1,646 "
08,08," 1,200 "," 1,180 "," 1,480 "," 1,240 ", 975 ," 1,710 ", 745 , 460 , 794 , 750 , 545 ," 1,285 ", 852 ," 1,078 ", 625 ," 1,040 "," 1,109 ", 945 , 644 ," 1,109 ", 665 ," 1,281 ", 859 , 767 ," 1,420 ", 450 ," 1,472 ", 925 , 868 ," 1,179 "," 1,055 ", 611 , 771 , 884 , 730 ," 2,080 ", 567 ," 1,445 "," 1,075 "," 1,445 "," 1,171 ", 717 ," 1,537 ", 625 , 940 ," 1,560 "," 1,080 ", 990 ," 1,333 "," 1,350 "," 1,040 "," 1,029 "," 1,046 "," 1,100 "," 1,257 ", 832 ," 1,398 "," 1,136 ", 989 ," 1,862 "
09,09," 1,060 "," 1,180 "," 1,480 "," 1,240 "," 1,275 "," 1,660 ", 745 , 500 , 794 , 750 , 590 ," 1,285 ", 902 ," 1,078 ", 625 ," 1,015 "," 1,532 ", 945 , 644 ," 1,109 ", 665 ," 1,281 ", 859 , 742 ," 1,420 ", 450 ," 1,472 ", 925 , 868 ," 1,263 "," 1,055 ", 611 , 771 , 884 , 730 ," 2,080 ", 717 ," 1,445 "," 1,075 "," 1,531 "," 1,271 ", 717 ," 1,537 ", 625 , 990 ," 1,560 "," 1,080 "," 1,050 "," 1,360 "," 1,355 "," 1,047 "," 1,041 "," 1,063 "," 1,125 "," 1,300 ", 823 ," 1,428 "," 1,149 "," 1,018 "," 1,915 "
10,10," 1,060 "," 1,180 "," 1,480 "," 1,240 "," 1,790 "," 1,660 ", 745 , 500 , 794 , 745 , 590 ," 1,285 ", 902 ," 1,078 ", 625 ," 1,015 "," 1,532 "," 1,055 ", 644 ," 1,109 ", 670 ," 1,295 ", 880 , 790 ," 1,420 ", 450 ," 1,420 ", 925 , 855 ," 1,263 "," 1,055 ", 611 , 630 , 884 , 730 ," 2,460 ", 765 ," 1,530 ", 710 ," 1,531 "," 1,271 ", 717 ," 1,537 ", 625 , 990 ," 1,560 "," 1,000 "," 1,050 "," 1,379 "," 1,355 "," 1,034 "," 1,025 "," 1,052 "," 1,126 "," 1,558 ", 816 ," 1,430 "," 1,149 "," 1,020 "," 1,949 "
