100 *A Disaggregate_First,.EXCEL_FIRST,M193RGTS@WDI,M122RGTS@WDI,M124RGTS@WDI,M156RGTS@WDI,M935RGTS@WDI,M128RGTS@WDI,M939RGTS@WDI,M172RGTS@WDI,M132RGTS@WDI,M134RGTS@WDI,M174RGTS@WDI,M944RGTS@WDI,M176RGTS@WDI,M178RGTS@WDI,M136RGTS@WDI,M158RGTS@WDI,M542RGTS@WDI,M137RGTS@WDI,M273RGTS@WDI,M138RGTS@WDI,M142RGTS@WDI,M182RGTS@WDI,M936RGTS@WDI,M961RGTS@WDI,M184RGTS@WDI,M144RGTS@WDI,M146RGTS@WDI,M186RGTS@WDI,M112RGTS@WDI,M111RGTS@WDI,M922RGTS@WDI,M924RGTS@WDI,M564RGTS@WDI,M199RGTS@WDI,M926RGTS@WDI,M009RGTS@WDI,M997RGTS@WDI,M025RGTS@WDI,MECSRGTS@WDI
.DESC,,"Australia: Roads, Goods Transported (Million Ton-Km)  ","Austria: Roads, Goods Transported (Million Ton-Km)  ","Belgium: Roads, Goods Transported (Million Ton-Km)  ","Canada: Roads, Goods Transported (Million Ton-Km)  ","Czech Rep: Roads, Goods Transported (Million Ton-Km)  ","Denmark: Roads, Goods Transported (Million Ton-Km)  ","Estonia: Roads, Goods Transported (Million Ton-Km)  ","Finland: Roads, Goods Transported (Million Ton-Km)  ","France: Roads, Goods Transported (Million Ton-Km)  ","Germany: Roads, Goods Transported (Million Ton-Km)  ","Greece: Roads, Goods Transported (Million Ton-Km)  ","Hungary: Roads, Goods Transported (Million Ton-Km)  ","Iceland: Roads, Goods Transported (Million Ton-Km)  ","Ireland: Roads, Goods Transported (Million Ton-Km)  ","Italy: Roads, Goods Transported (Million Ton-Km)  ","Japan: Roads, Goods Transported (Million Ton-Km)  ","Korea: Roads, Goods Transported (Million Ton-Km)  ","Luxembourg: Roads, Goods Transported (Million Ton-Km)  ","Mexico: Roads, Goods Transported (Million Ton-Km)  ","Netherlands: Roads, Goods Transported (Million Ton-Km)  ","Norway: Roads, Goods Transported (Million Ton-Km)  ","Portugal: Roads, Goods Transported (Million Ton-Km)  ","Slovak Rep: Roads, Goods Transported (Million Ton-Km)  ","Slovenia: Roads, Goods Transported (Million Ton-Km)  ","Spain: Roads, Goods Transported (Million Ton-Km)  ","Sweden: Roads, Goods Transported (Million Ton-Km)  ","Switzerland: Roads, Goods Transported (Million Ton-Km)  ","Turkey: Roads, Goods Transported (Million Ton-Km)  ","UK: Roads, Goods Transported (Million Ton-Km)  ","U.S.: Roads, Goods Transported (Million Ton-Km)  ","Russia: Roads, Goods Transported (Million Ton-Km)  ","China: Roads, Goods Transported (Million Ton-Km)  ","Pakistan: Roads, Goods Transported (Million Ton-Km)  ","South Africa: Roads, Goods Transported (Million Ton-Km)  ","Ukraine: Roads, Goods Transported (Million Ton-Km)  ","North America: Roads, Goods Transported (Million Ton-Km)  ","European Union: Roads, Goods Transported (Million Ton-Km)  ","Euro Area: Roads, Goods Transported (Million Ton-Km)  ","Europe & Central Asia: Roads, Goods Transported (Million Ton-Km)  "
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank 
00,00," 132,627 "," 17,153 "," 32,450 ",#N/A," 39,000 "," 11,000 ",#N/A," 27,500 "," 266,500 "," 346,300 "," 18,360 "," 13,329 ",#N/A," 12,263 "," 184,756 "," 313,118 "," 11,412 ",#N/A," 194,053 "," 45,700 "," 12,483 "," 27,531 "," 14,340 "," 5,252 "," 133,078 "," 32,419 ",#N/A,#N/A," 150,482 "," 1,741,211 "," 23,300 "," 612,940 ",#N/A, 434 ,#N/A," 1,741,211 "," 22,930 "," 27,516 "," 12,483 "
01,01," 134,994 "," 17,556 ",#N/A," 170,931 "," 40,260 "," 10,887 "," 3,875 ",#N/A,#N/A," 353,000 ",#N/A," 12,500 ",#N/A," 12,291 "," 186,510 "," 313,072 "," 12,322 "," 8,699 "," 191,901 ",#N/A," 13,287 "," 30,711 "," 13,799 "," 7,035 ",#N/A," 34,161 ",#N/A," 151,421 "," 149,398 "," 1,770,966 ",#N/A," 633,040 ",#N/A,#N/A,#N/A," 970,949 "," 13,799 "," 13,799 "," 9,580 "
02,02," 142,735 "," 17,827 ",#N/A," 177,216 "," 45,100 "," 11,056 "," 4,211 "," 29,000 ",#N/A," 354,500 ",#N/A," 12,000 ", 800 ," 14,282 "," 192,700 "," 312,028 "," 13,275 "," 9,142 "," 192,900 ",#N/A," 13,614 "," 30,567 "," 14,929 "," 6,609 "," 124,472 "," 36,620 "," 14,511 "," 150,912 "," 149,826 "," 1,818,164 "," 23,200 "," 678,250 ",#N/A,#N/A," 20,593 "," 997,690 "," 17,827 "," 17,827 "," 13,614 "
03,03," 149,178 "," 18,141 "," 51,147 "," 184,774 "," 46,564 "," 11,011 "," 6,364 "," 27,800 "," 189,000 "," 381,900 ",#N/A," 12,505 ", 800 ," 15,679 ",#N/A," 321,862 "," 13,005 "," 9,493 "," 195,200 "," 77,100 "," 14,115 "," 27,853 "," 16,859 "," 7,040 "," 132,868 "," 37,048 "," 15,012 "," 152,163 "," 151,711 "," 1,846,237 "," 25,200 "," 709,948 ",#N/A,#N/A," 24,387 "," 1,015,506 "," 27,800 "," 27,800 "," 15,346 "
04,04," 156,455 "," 17,378 "," 54,856 ",#N/A," 46,010 "," 10,538 "," 6,837 "," 28,100 "," 197,000 "," 398,400 ",#N/A,#N/A,#N/A," 17,011 ",#N/A," 327,632 "," 12,545 ",#N/A," 199,800 ",#N/A," 14,966 "," 40,880 "," 18,517 "," 9,007 ",#N/A," 37,677 "," 15,379 "," 156,853 "," 152,126 "," 1,870,760 ",#N/A," 784,090 ",#N/A,#N/A," 19,726 "," 1,870,760 "," 18,517 "," 17,948 "," 15,173 "
05,05," 162,676 "," 16,889 "," 48,944 ",#N/A," 43,447 "," 11,059 "," 7,641 "," 27,800 "," 193,000 "," 402,700 "," 32,500 "," 25,138 ", 600 ," 17,819 "," 211,804 "," 334,979 ",#N/A," 8,803 "," 204,217 "," 84,163 "," 15,875 "," 42,656 "," 22,566 "," 11,032 "," 329,702 "," 38,575 "," 15,754 "," 166,831 "," 152,566 "," 1,885,273 "," 194,000 "," 869,320 "," 129,249 ",#N/A," 23,895 "," 1,885,273 "," 30,150 "," 30,150 "," 20,193 "
06,06," 169,074 "," 18,846 "," 51,572 ",#N/A," 50,369 "," 11,494 "," 8,857 "," 26,400 "," 313,000 "," 435,700 "," 34,000 "," 30,495 ", 790 ," 17,322 "," 187,065 "," 346,534 ",#N/A," 8,807 "," 209,392 "," 83,193 ",#N/A," 45,032 "," 22,212 "," 12,112 "," 331,537 "," 39,918 "," 16,330 "," 177,399 "," 152,445 "," 1,885,180 "," 199,000 "," 975,425 ",#N/A,#N/A," 26,625 "," 1,885,180 "," 32,248 "," 30,200 "," 22,212 "
07,07," 177,527 "," 18,648 "," 48,495 "," 130,600 "," 48,141 "," 11,798 "," 10,660 "," 26,900 "," 330,000 "," 454,100 "," 27,791 "," 30,495 ", 830 ," 18,707 "," 179,411 "," 354,800 ",#N/A," 9,562 "," 222,391 "," 77,921 "," 16,244 "," 46,406 "," 27,159 "," 13,734 "," 352,515 "," 40,500 "," 16,993 "," 181,330 "," 157,311 "," 2,049,126 "," 206,000 "," 1,135,469 ",#N/A,#N/A," 31,053 "," 1,089,863 "," 29,143 "," 27,475 "," 20,278 "
