90 *A Disaggregate_First,.EXCEL_FIRST,M213VTPP@WDI,M223VTPP@WDI,M228VTPP@WDI,M924VTPP@WDI,M944VTPP@WDI,M534VTPP@WDI,M536VTPP@WDI,M548VTPP@WDI,M273VTPP@WDI,M694VTPP@WDI,M564VTPP@WDI,M566VTPP@WDI,M964VTPP@WDI,M922VTPP@WDI,M199VTPP@WDI,M578VTPP@WDI,M186VTPP@WDI,M926VTPP@WDI,M506VTPP@WDI,MLCNVTPP@WDI,
.DESC,,Argentina: Investment in Transport with Private Participation (Mil.US$)  ,Brazil: Investment in Transport with Private Participation (Mil.US$)  ,Chile: Investment in Transport with Private Participation (Mil.US$)  ,China: Investment in Transport with Private Participation (Mil.US$)  ,Hungary: Investment in Transport with Private Participation (Mil.US$)  ,India: Investment in Transport with Private Participation (Mil.US$)  ,Indonesia: Investment in Transport with Private Participation (Mil.US$)  ,Malaysia: Investment in Transport with Private Participation (Mil.US$)  ,Mexico: Investment in Transport with Private Participation (Mil.US$)  ,Nigeria: Investment in Transport with Private Participation (Mil.US$)  ,Pakistan: Investment in Transport with Private Participation (Mil.US$)  ,Philippines: Investment in Transport with Private Participation (Mil.US$)  ,Poland: Investment in Transport with Private Participation (Mil.US$)  ,Russia: Investment in Transport with Private Participation (Mil.US$)  ,South Africa: Investment in Transport with Private Participation (Mil.US$)  ,Thailand: Investment in Transport with Private Participation (Mil.US$)  ,Turkey: Investment in Transport with Private Participation (Mil.US$)  ,Ukraine : Investment in Transport with Private Participation (Mil.US$)  ,South Asia: Investment in Transport with Private Participation (Mil.US$)  ,LA & the Caribbean : Invest in Transport w/Pvt Participation (Mil.US$)  ,
.SOURCE,,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,WB ,
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,
.FRQ,,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,Annual ,
90,90," 2,088.0 ",#N/A,#N/A, 173.0 ,#N/A, 1.9 , 116.0 ,#N/A," 4,603.4 ",#N/A,#N/A,#N/A,#N/A,#N/A, -   , 632.2 ,#N/A,#N/A, 1.9 ,#N/A,
91,91, 214.0 ,#N/A,#N/A," 2,378.8 ",#N/A,#N/A, 10.8 , -   , 395.5 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 15.7 ,#N/A,#N/A,#N/A,#N/A,
92,92, 814.7 ,#N/A,#N/A, 532.6 ,#N/A,#N/A, 114.5 , 160.0 ," 1,921.8 ",#N/A,#N/A,#N/A,#N/A, -   ,#N/A, 48.0 ,#N/A,#N/A,#N/A,#N/A,
93,93," 1,439.6 ",#N/A, 93.4 ," 1,172.0 ",#N/A,#N/A, 351.5 , 814.0 , 427.8 ,#N/A,#N/A, -   ,#N/A, -   , -   , -   ,#N/A,#N/A,#N/A,#N/A,
94,94, 940.5 , 328.1 , 27.0 ," 2,086.1 ",#N/A, 125.0 , 26.7 ," 2,010.6 ", 235.2 ,#N/A,#N/A,#N/A,#N/A, -   ,#N/A,#N/A, 20.0 ,#N/A, 125.0 ," 2,433.7 ",
95,95, 621.2 , 989.3 , 419.5 , 309.3 ,#N/A,#N/A, 502.8 ," 1,889.0 ", 324.3 ,#N/A, 199.6 , 300.0 ,#N/A, -   ,#N/A," 1,700.0 ",#N/A,#N/A,#N/A," 2,790.1 ",
