101 *A Disaggregate_First,.EXCEL_FIRST,M193VEHP@WDI,M122VEHP@WDI,M124VEHP@WDI,M156VEHP@WDI,M228VEHP@WDI,M935VEHP@WDI,M128VEHP@WDI,M939VEHP@WDI,M172VEHP@WDI,M132VEHP@WDI,M134VEHP@WDI,M174VEHP@WDI,M944VEHP@WDI,M176VEHP@WDI,M178VEHP@WDI,M436VEHP@WDI,M136VEHP@WDI,M158VEHP@WDI,M542VEHP@WDI,M137VEHP@WDI,M273VEHP@WDI,M138VEHP@WDI,M196VEHP@WDI,M142VEHP@WDI,M964VEHP@WDI,M182VEHP@WDI,M936VEHP@WDI,M961VEHP@WDI,M184VEHP@WDI,M144VEHP@WDI,M146VEHP@WDI,M186VEHP@WDI,M112VEHP@WDI,M111VEHP@WDI,M223VEHP@WDI,M922VEHP@WDI,M534VEHP@WDI,M924VEHP@WDI,M536VEHP@WDI,M564VEHP@WDI,M199VEHP@WDI,M694VEHP@WDI,M566VEHP@WDI,M548VEHP@WDI,M213VEHP@WDI,M926VEHP@WDI,M009VEHP@WDI,M997VEHP@WDI,M025VEHP@WDI,M506VEHP@WDI,MEASVEHP@WDI,MECSVEHP@WDI,MLCNVEHP@WDI,MSSFVEHP@WDI
.DESC,,"Australia: Vehicles (per 1,000 People)  ","Austria: Vehicles (per 1,000 People)  ","Belgium: Vehicles (per 1,000 People)  ","Canada: Vehicles (per 1,000 People)  ","Chile: Vehicles (per 1,000 People)  ","Czech Rep: Vehicles (per 1,000 People)  ","Denmark: Vehicles (per 1,000 People)  ","Estonia: Vehicles (per 1,000 People)  ","Finland: Vehicles (per 1,000 People)  ","France: Vehicles (per 1,000 People)  ","Germany: Vehicles (per 1,000 People)  ","Greece: Vehicles (per 1,000 People)  ","Hungary: Vehicles (per 1,000 People)  ","Iceland: Vehicles (per 1,000 People)  ","Ireland: Vehicles (per 1,000 People)  ","Israel: Vehicles (per 1,000 People)  ","Italy: Vehicles (per 1,000 People)  ","Japan: Vehicles (per 1,000 People)  ","Korea: Vehicles (per 1,000 People)  ","Luxembourg: Vehicles (per 1,000 People)  ","Mexico: Vehicles (per 1,000 People)  ","Netherlands: Vehicles (per 1,000 People)  ","New Zealand: Vehicles (per 1,000 People)  ","Norway: Vehicles (per 1,000 People)  ","Poland: Vehicles (per 1,000 People)  ","Portugal: Vehicles (per 1,000 People)  ","Slovak Rep: Vehicles (per 1,000 People)  ","Slovenia: Vehicles (per 1,000 People)  ","Spain: Vehicles (per 1,000 People)  ","Sweden: Vehicles (per 1,000 People)  ","Switzerland: Vehicles (per 1,000 People)  ","Turkey: Vehicles (per 1,000 People)  ","UK: Vehicles (per 1,000 People)  ","U.S.: Vehicles (per 1,000 People)  ","Brazil: Vehicles (per 1,000 People)  ","Russia: Vehicles (per 1,000 People)  ","India: Vehicles (per 1,000 People)  ","China: Vehicles (per 1,000 People)  ","Indonesia: Vehicles (per 1,000 People)  ","Pakistan: Vehicles (per 1,000 People)  ","South Africa: Vehicles (per 1,000 People)  ","Nigeria: Vehicles (per 1,000 People)  ","Philippines: Vehicles (per 1,000 People)  ","Malaysia: Vehicles (per 1,000 People)  ","Argentina: Vehicles (per 1,000 People)  ","Ukraine: Vehicles (per 1,000 People)  ","North America: Vehicles (per 1,000 People)  ","European Union: Vehicles (per 1,000 People)  ","Euro Area: Vehicles (per 1,000 People)  ","South Asia: Vehicles (per 1,000 People)  ","East Asia & Pacific: Vehicles (per 1,000 People)  ","Europe & Central Asia: Vehicles (per 1,000 People)  ","Latin America & the Caribbean: Vehicles (per 1,000 People)  ","Sub-Saharan Africa: Vehicles (per 1,000 People)  "
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank 
01,01, 624.6 , 562.4 , 517.9 , 572.1 , 133.3 , 378.0 , 425.3 , 361.7 , 475.2 , 567.5 , 574.3 , 414.3 , 281.4 , 637.2 , 421.6 , 285.0 , 649.3 , 570.2 , 272.7 , 693.5 , 168.0 , 477.6 ,#N/A, 517.3 , 321.2 , 463.4 , 272.4 , 474.3 , 547.9 , 497.8 , 543.8 , 94.9 , 477.7 , 808.6 ,#N/A,#N/A, 9.9 , 13.8 , 26.1 , 10.8 , 131.2 ,#N/A, 31.2 , 237.6 ,#N/A, 128.7 , 785.4 , 490.0 , 554.6 , 10.4 , 73.7 , 396.7 ,#N/A,#N/A
02,02, 633.6 , 534.1 , 526.4 , 582.5 , 134.5 , 393.7 , 428.6 , 357.9 ,#N/A, 572.0 , 576.3 , 435.3 , 298.2 , 638.9 , 434.5 , 286.3 , 659.3 , 574.4 , 292.9 , 707.5 , 179.4 , 485.9 , 736.2 , 521.0 , 347.2 ,#N/A, 280.5 , 482.1 , 557.9 , 500.6 , 550.2 , 95.3 , 488.5 , 798.3 ,#N/A,#N/A, 10.3 , 15.7 , 27.3 , 10.0 , 143.9 ,#N/A, 33.7 , 252.1 ,#N/A, 133.1 , 777.1 , 499.4 , 565.1 , 10.7 , 75.1 , 404.0 ,#N/A,#N/A
03,03, 642.7 , 540.5 , 524.2 , 581.6 , 135.1 , 417.4 , 430.7 , 426.8 , 497.5 , 572.4 , 576.0 , 453.4 , 314.6 , 655.6 , 447.3 , 284.9 ,#N/A, 577.6 , 304.8 , 715.5 , 186.4 , 488.7 , 678.3 , 526.7 , 357.0 , 506.7 , 288.1 , 490.8 , 550.1 ,#N/A, 553.7 , 97.2 , 496.2 , 797.6 , 163.7 ,#N/A, 11.6 , 18.1 , 29.9 , 12.9 ,#N/A,#N/A,#N/A, 265.5 ,#N/A, 137.4 , 776.3 , 483.4 , 541.7 , 11.3 , 82.4 , 383.8 , 153.6 ,#N/A
04,04, 652.7 , 547.2 , 530.1 ,#N/A, 140.1 , 414.2 , 437.8 , 458.9 , 515.2 , 574.8 , 536.8 , 475.5 , 320.8 , 685.5 , 462.2 , 288.0 ,#N/A, 580.8 , 310.9 , 719.2 , 193.6 , 493.7 , 696.5 , 535.4 , 378.4 ,#N/A, 256.5 , 504.2 , 566.9 , 508.0 , 558.6 , 115.7 , 510.0 , 810.2 , 171.1 , 202.0 , 12.4 , 20.3 , 33.3 , 12.9 , 134.8 ,#N/A, 34.4 , 266.3 ,#N/A, 136.6 , 810.2 , 484.5 , 536.1 , 11.8 , 82.3 , 351.6 , 148.5 ,#N/A
05,05, 661.9 , 549.9 , 533.7 ,#N/A, 147.3 , 431.6 , 451.8 , 477.0 , 530.9 , 574.6 , 543.3 , 496.8 , 329.1 , 724.2 , 476.1 , 292.4 , 667.0 , 587.2 , 319.9 , 727.1 , 202.4 , 496.8 , 713.7 , 545.7 , 385.8 ,#N/A, 280.3 , 518.3 , 579.7 , 512.6 , 563.0 , 123.7 , 517.2 , 816.2 , 178.3 , 213.0 , 13.4 , 23.7 , 39.9 , 12.9 , 141.7 ,#N/A, 33.6 , 284.1 ,#N/A, 139.0 , 816.2 , 513.2 , 566.0 , 12.6 , 86.4 , 382.1 , 152.6 ,#N/A
06,06, 671.4 , 553.7 , 538.2 , 587.7 , 154.4 , 449.9 , 467.8 , 485.5 , 545.5 , 576.3 , 549.4 , 519.3 , 337.7 , 748.3 , 500.3 , 296.3 , 676.6 , 592.2 , 328.6 , 733.8 , 224.3 , 503.9 , 724.3 , 557.8 , 415.8 , 508.6 , 287.6 , 528.9 , 590.6 , 517.1 , 565.5 , 131.5 , 516.8 , 818.3 , 186.5 , 223.1 , 14.7 , 27.5 , 46.9 , 13.3 , 150.0 ,#N/A, 33.3 , 297.9 ,#N/A, 142.6 , 795.6 , 519.6 , 571.6 , 13.7 , 91.3 , 390.0 , 163.3 ,#N/A
07,07, 678.9 , 557.5 , 543.7 , 598.0 , 161.3 , 469.8 , 479.6 , 453.4 , 542.6 , 578.8 , 553.1 , 543.4 , 345.5 , 772.1 , 520.3 , 304.9 , 662.9 , 593.5 , 338.0 , 740.7 , 236.8 , 513.6 , 729.3 , 571.9 , 451.1 ,#N/A, 311.1 , 547.0 , 605.5 , 522.6 , 569.3 , 137.9 , 522.0 , 820.9 , 197.4 , 243.8 ,#N/A, 32.3 , 55.3 , 13.9 , 157.6 , 31.0 , 32.2 , 311.9 , 315.0 , 151.1 , 798.9 , 529.0 , 577.7 ,#N/A, 92.2 , 393.4 , 179.0 , 28.8 
08,08, 688.8 , 560.8 , 547.4 , 604.6 , 169.7 , 484.6 , 481.5 , 477.0 , 534.4 , 578.1 , 556.4 , 564.3 , 351.6 , 767.2 , 523.4 , 312.9 , 668.7 , 592.2 , 343.1 , 746.9 , 255.0 , 521.7 , 733.0 , 575.3 , 495.3 ,#N/A, 337.3 , 565.3 , 606.1 , 520.8 , 566.7 , 143.7 , 521.6 , 816.1 , 210.0 , 263.7 , 16.3 , 37.5 , 59.6 , 14.4 , 160.1 ,#N/A, 32.0 , 328.4 ,#N/A, 163.6 , 795.2 , 537.9 , 581.8 , 15.3 , 100.3 , 408.3 , 178.1 ,#N/A
