97 *A Disaggregate_First,.EXCEL_FIRST,M193RWPC@WDI,M122RWPC@WDI,M124RWPC@WDI,M156RWPC@WDI,M228RWPC@WDI,M935RWPC@WDI,M128RWPC@WDI,M939RWPC@WDI,M172RWPC@WDI,M132RWPC@WDI,M134RWPC@WDI,M174RWPC@WDI,M944RWPC@WDI,M178RWPC@WDI,M436RWPC@WDI,M136RWPC@WDI,M158RWPC@WDI,M542RWPC@WDI,M137RWPC@WDI,M273RWPC@WDI,M138RWPC@WDI,M196RWPC@WDI,M142RWPC@WDI,M964RWPC@WDI,M182RWPC@WDI,M936RWPC@WDI,M961RWPC@WDI,M184RWPC@WDI,M144RWPC@WDI,M146RWPC@WDI,M186RWPC@WDI,M112RWPC@WDI,M111RWPC@WDI,M223RWPC@WDI,M922RWPC@WDI,M534RWPC@WDI,M924RWPC@WDI,M536RWPC@WDI,M564RWPC@WDI,M578RWPC@WDI,M199RWPC@WDI,M694RWPC@WDI,M566RWPC@WDI,M548RWPC@WDI,M213RWPC@WDI,M926RWPC@WDI,M001RWPC@WDI,M009RWPC@WDI,M997RWPC@WDI,M025RWPC@WDI,M506RWPC@WDI,MEASRWPC@WDI,MECSRWPC@WDI,MMEARWPC@WDI,
.DESC,,"Australia: Railways, Passengers Carried (Million Passenger-Km)  ","Austria: Railways, Passengers Carried (Million Passenger-Km)  ","Belgium: Railways, Passengers Carried (Million Passenger-Km)  ","Canada: Railways, Passengers Carried (Million Passenger-Km)  ","Chile: Railways, Passengers Carried (Million Passenger-Km)  ","Czech Rep: Railways, Passengers Carried (Million Passenger-Km)  ","Denmark: Railways, Passengers Carried (Million Passenger-Km)  ","Estonia: Railways, Passengers Carried (Million Passenger-Km)  ","Finland: Railways, Passengers Carried (Million Passenger-Km)  ","France: Railways, Passengers Carried (Million Passenger-Km)  ","Germany: Railways, Passengers Carried (Million Passenger-Km)  ","Greece: Railways, Passengers Carried (Million Passenger-Km)  ","Hungary: Railways, Passengers Carried (Million Passenger-Km)  ","Ireland: Railways, Passengers Carried (Million Passenger-Km)  ","Israel: Railways, Passengers Carried (Million Passenger-Km)  ","Italy: Railways, Passengers Carried (Million Passenger-Km)  ","Japan: Railways, Passengers Carried (Million Passenger-Km)  ","Korea: Railways, Passengers Carried (Million Passenger-Km)  ","Luxembourg: Railways, Passengers Carried (Million Passenger-Km)  ","Mexico: Railways, Passengers Carried (Million Passenger-Km)  ","Netherlands: Railways, Passengers Carried (Million Passenger-Km)  ","New Zealand: Railways, Passengers Carried (Million Passenger-Km)  ","Norway: Railways, Passengers Carried (Million Passenger-Km)  ","Poland: Railways, Passengers Carried (Million Passenger-Km)  ","Portugal: Railways, Passengers Carried (Million Passenger-Km)  ","Slovak Rep: Railways, Passengers Carried (Million Passenger-Km)  ","Slovenia: Railways, Passengers Carried (Million Passenger-Km)  ","Spain: Railways, Passengers Carried (Million Passenger-Km)  ","Sweden: Railways, Passengers Carried (Million Passenger-Km)  ","Switzerland: Railways, Passengers Carried (Million Passenger-Km)  ","Turkey: Railways, Passengers Carried (Million Passenger-Km)  ","UK: Railways, Passengers Carried (Million Passenger-Km)  ","U.S.: Railways, Passengers Carried (Million Passenger-Km)  ","Brazil: Railways, Passengers Carried (Million Passenger-Km)  ","Russia: Railways, Passengers Carried (Million Passenger-Km)  ","India: Railways, Passengers Carried (Million Passenger-Km)  ","China: Railways, Passengers Carried (Million Passenger-Km)  ","Indonesia: Railways, Passengers Carried (Million Passenger-Km)  ","Pakistan: Railways, Passengers Carried (Million Passenger-Km)  ","Thailand: Railways, Passengers Carried (Million Passenger-Km)  ","South Africa: Railways, Passengers Carried (Million Passenger-Km)  ","Nigeria: Railways, Passengers Carried (Million Passenger-Km)  ","Philippines: Railways, Passengers Carried (Million Passenger-Km)  ","Malaysia: Railways, Passengers Carried (Million Passenger-Km)  ","Argentina: Railways, Passengers Carried (Million Passenger-Km)  ","Ukraine: Railways, Passengers Carried (Million Passenger-Km)  ","World: Railways, Passengers Carried (Million Passenger-Km)  ","North America: Railways, Passengers Carried (Million Passenger-Km)  ","European Union: Railways, Passengers Carried (Million Passenger-Km)  ","Euro Area: Railways, Passengers Carried (Million Passenger-Km)  ","South Asia: Railways, Passengers Carried (Million Passenger-Km)  ","East Asia & Pacific: Railways, Passengers Carried (Million Passenger-Km)  ","Europe & Central Asia: Railways, Passengers Carried (Million Passenger-Km)  ","Middle East & North Africa: Railways, Passengers Carried (Million Passenger-Km)  ",
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,
97,97," 1,093.0 "," 8,140.0 "," 6,981.0 ",#N/A,#N/A," 7,710.0 "," 4,980.0 ", 262.0 ," 3,376.0 "," 61,831.0 "," 71,630.0 "," 1,884.0 "," 8,583.0 "," 1,331.0 ", 348.0 ," 49,500.0 "," 247,652.0 "," 30,072.0 ",#N/A," 1,508.0 "," 13,875.0 ", 395.5 ,#N/A," 25,795.0 "," 4,565.0 "," 3,095.0 ", 616.0 ," 16,579.0 "," 6,814.0 "," 12,386.0 "," 5,840.0 "," 34,700.0 ",#N/A,#N/A," 170,300.0 "," 379,897.0 "," 332,200.0 "," 15,162.0 "," 19,114.0 "," 11,878.0 "," 10,776.0 ", 212.0 , 214.6 ," 1,492.0 ",#N/A," 54,540.0 "," 1,656.0 ",#N/A," 6,814.0 "," 4,565.0 "," 11,484.8 "," 1,988.0 "," 5,863.0 ",#N/A,
98,98,#N/A," 7,971.0 "," 7,971.0 ",#N/A,#N/A," 7,001.0 "," 5,382.0 ", 236.0 ," 3,377.0 "," 64,528.0 "," 71,856.0 "," 1,816.0 "," 8,788.0 "," 1,579.0 ", 383.0 ," 47,285.0 "," 242,807.0 "," 30,409.0 ",#N/A, 460.0 ," 14,107.0 ", 320.6 ,#N/A," 25,651.0 "," 4,602.0 "," 3,116.0 ", 646.0 ," 17,475.0 "," 6,997.0 "," 12,485.0 "," 6,160.0 "," 36,200.0 ",#N/A,#N/A," 152,900.0 "," 403,884.0 "," 343,000.0 "," 16,196.0 "," 18,774.0 "," 10,947.0 "," 10,934.0 ", 506.0 , 247.0 ," 1,397.0 ",#N/A," 49,928.0 ",#N/A,#N/A," 6,997.0 "," 4,602.0 "," 11,226.0 "," 6,744.5 "," 5,382.0 ",#N/A,
99,99," 1,155.0 "," 7,899.0 "," 7,354.0 ",#N/A,#N/A," 6,929.0 "," 5,113.0 ", 238.0 ," 3,415.0 "," 66,495.0 "," 72,846.0 "," 1,583.0 "," 9,418.0 "," 1,421.0 ", 529.0 ," 40,971.0 "," 240,877.0 ",#N/A,#N/A, 254.0 ," 14,330.0 ", -   ,#N/A," 26,187.0 "," 4,329.0 "," 2,968.0 ", 623.0 ," 18,144.0 "," 7,434.0 "," 12,615.0 "," 6,146.0 "," 38,500.0 ",#N/A,#N/A," 141,042.0 "," 431,000.0 "," 404,627.0 ",#N/A," 18,980.0 "," 9,959.0 "," 11,564.0 ", 739.0 , 242.0 ," 1,312.0 ",#N/A," 47,600.0 ",#N/A,#N/A," 6,929.0 "," 4,329.0 "," 11,460.5 "," 1,233.5 "," 5,629.5 ",#N/A,
00,00," 1,265.0 "," 8,318.0 "," 7,755.0 ",#N/A, 737.0 ," 7,266.0 "," 5,381.0 ", 261.0 ," 3,405.0 "," 69,860.0 "," 74,388.0 "," 1,583.0 "," 7,052.0 "," 1,389.0 ", 781.0 ," 44,849.0 "," 240,793.0 "," 28,097.0 ",#N/A, 82.0 ," 14,760.0 ",#N/A,#N/A," 24,226.0 "," 3,632.0 "," 2,870.0 ", 705.0 ," 19,784.0 "," 6,006.0 "," 12,835.0 "," 5,832.0 "," 38,200.0 ",#N/A,#N/A," 167,100.0 "," 430,666.0 "," 441,468.0 ",#N/A," 18,495.0 "," 9,935.0 "," 11,890.0 ", 363.0 , 171.0 ," 1,312.0 ",#N/A," 51,767.0 "," 1,389.0 ",#N/A," 6,006.0 "," 3,632.0 "," 18,495.0 "," 2,256.0 "," 5,381.0 ",#N/A,
01,01," 1,497.0 "," 8,240.0 "," 8,038.0 ",#N/A, 871.0 ," 7,262.0 "," 5,559.0 ", 183.0 ," 3,282.0 "," 71,209.0 "," 73,899.0 "," 1,783.0 "," 9,906.0 "," 1,515.0 ", 961.0 ," 46,675.0 "," 241,133.0 "," 29,288.0 ",#N/A, 67.0 ," 14,392.0 ",#N/A,#N/A," 18,208.0 "," 3,692.0 "," 2,805.0 ", 715.0 ," 20,368.0 "," 5,575.0 "," 13,365.0 "," 5,568.0 "," 39,200.0 ",#N/A,#N/A," 158,000.0 "," 457,022.0 "," 463,660.0 ",#N/A," 19,590.0 "," 10,321.0 "," 11,747.0 ", 279.0 , 177.0 ," 1,181.0 ",#N/A," 49,661.0 ",#N/A,#N/A," 5,575.0 "," 3,692.0 "," 19,590.0 ",#N/A," 5,559.0 ",#N/A,
02,02," 1,379.0 "," 8,300.0 "," 8,260.0 ",#N/A, 770.0 ," 6,562.0 "," 5,528.0 ", 177.0 ," 3,318.0 "," 73,227.0 "," 69,848.0 "," 1,836.0 "," 7,387.0 "," 1,628.0 "," 1,116.0 "," 45,956.0 "," 239,246.0 "," 28,787.0 ",#N/A, 69.0 ," 14,288.0 ",#N/A,#N/A," 17,310.0 "," 3,683.0 "," 2,682.0 ", 749.0 ," 20,733.0 "," 5,792.0 "," 12,332.0 "," 5,204.0 "," 39,600.0 ",#N/A,#N/A," 152,900.0 "," 490,912.0 "," 480,310.0 ",#N/A," 20,783.0 "," 10,378.0 ",#N/A, 459.0 , 148.0 ," 1,123.0 ",#N/A," 50,544.0 ",#N/A,#N/A," 5,792.0 "," 3,683.0 "," 20,783.0 ",#N/A," 5,204.0 ",#N/A,
03,03," 1,347.0 "," 8,150.0 "," 8,265.0 ",#N/A, 829.0 ," 6,483.0 "," 5,397.0 ", 182.0 ," 3,338.0 "," 71,937.0 "," 69,596.0 "," 1,574.0 "," 7,300.0 "," 1,601.0 "," 1,278.0 "," 45,221.0 "," 241,160.0 "," 28,562.0 ",#N/A, 78.0 ," 13,848.0 ",#N/A,#N/A," 19,643.0 "," 3,339.0 "," 2,316.0 ", 777.0 ," 20,608.0 "," 5,733.0 "," 12,290.0 "," 5,878.0 "," 40,900.0 ",#N/A,#N/A," 155,573.0 "," 515,044.0 "," 456,000.0 ",#N/A," 22,306.0 "," 10,251.0 ",#N/A, 496.0 , 137.0 ," 1,931.0 ",#N/A," 52,558.0 ",#N/A,#N/A," 5,733.0 "," 3,339.0 "," 13,466.6 ",#N/A," 5,565.0 ",#N/A,
04,04,#N/A," 8,259.0 "," 8,676.0 ",#N/A, 820.0 ," 6,533.0 "," 5,390.0 ", 192.0 ," 3,352.0 "," 74,014.0 "," 69,997.0 "," 1,668.0 "," 7,199.0 "," 1,582.0 "," 1,423.0 "," 45,566.0 "," 242,300.0 "," 28,641.0 ",#N/A, 74.0 ," 14,097.0 ",#N/A,#N/A," 18,626.0 "," 3,415.0 "," 2,227.0 ", 764.0 ," 20,224.0 "," 5,100.0 "," 12,375.0 "," 5,163.0 "," 41,800.0 ",#N/A,#N/A," 164,272.0 "," 541,208.0 "," 551,196.0 ",#N/A," 23,045.0 "," 9,332.0 ",#N/A, 973.0 , 144.0 ," 1,931.0 ",#N/A," 51,726.0 ",#N/A,#N/A," 5,390.0 "," 3,415.0 "," 13,864.6 ",#N/A," 5,131.5 ",#N/A,
