98 *A Disaggregate_First,.EXCEL_FIRST,M193PDSL@WDI,M122PDSL@WDI,M124PDSL@WDI,M156PDSL@WDI,M228PDSL@WDI,M935PDSL@WDI,M128PDSL@WDI,M939PDSL@WDI,M172PDSL@WDI,M132PDSL@WDI,M134PDSL@WDI,M174PDSL@WDI,M944PDSL@WDI,M176PDSL@WDI,M178PDSL@WDI,M436PDSL@WDI,M136PDSL@WDI,M158PDSL@WDI,M542PDSL@WDI,M137PDSL@WDI,M273PDSL@WDI,M138PDSL@WDI,M142PDSL@WDI,M964PDSL@WDI,M936PDSL@WDI,M961PDSL@WDI,M184PDSL@WDI,M144PDSL@WDI,M146PDSL@WDI,M186PDSL@WDI,M112PDSL@WDI,M111PDSL@WDI,M223PDSL@WDI,M922PDSL@WDI,M534PDSL@WDI,M924PDSL@WDI,M536PDSL@WDI,M564PDSL@WDI,M578PDSL@WDI,M199PDSL@WDI,M694PDSL@WDI,M566PDSL@WDI,M548PDSL@WDI,M213PDSL@WDI,M926PDSL@WDI,M001PDSL@WDI,M009PDSL@WDI,M997PDSL@WDI,M025PDSL@WDI,MALSPDSL@WDI,M506PDSL@WDI,MEASPDSL@WDI,MECSPDSL@WDI,MLCNPDSL@WDI,MMEAPDSL@WDI,MSSFPDSL@WDI
.DESC,,Australia: Pump Price for Diesel Fuel (US$ per Liter)  ,Austria: Pump Price for Diesel Fuel (US$ per Liter)  ,Belgium: Pump Price for Diesel Fuel (US$ per Liter)  ,Canada: Pump Price for Diesel Fuel (US$ per Liter)  ,Chile: Pump Price for Diesel Fuel (US$ per Liter)  ,Czech Rep: Pump Price for Diesel Fuel (US$ per Liter)  ,Denmark: Pump Price for Diesel Fuel (US$ per Liter)  ,Estonia: Pump Price for Diesel Fuel (US$ per Liter)  ,Finland: Pump Price for Diesel Fuel (US$ per Liter)  ,France: Pump Price for Diesel Fuel (US$ per Liter)  ,Germany: Pump Price for Diesel Fuel (US$ per Liter)  ,Greece: Pump Price for Diesel Fuel (US$ per Liter)  ,Hungary: Pump Price for Diesel Fuel (US$ per Liter)  ,Iceland: Pump Price for Diesel Fuel (US$ per Liter)  ,Ireland: Pump Price for Diesel Fuel (US$ per Liter)  ,Israel: Pump Price for Diesel Fuel (US$ per Liter)  ,Italy: Pump Price for Diesel Fuel (US$ per Liter)  ,Japan: Pump Price for Diesel Fuel (US$ per Liter)  ,Korea: Pump Price for Diesel Fuel (US$ per Liter)  ,Luxembourg: Pump Price for Diesel Fuel (US$ per Liter)  ,Mexico: Pump Price for Diesel Fuel (US$ per Liter)  ,Netherlands: Pump Price for Diesel Fuel (US$ per Liter)  ,Norway: Pump Price for Diesel Fuel (US$ per Liter)  ,Poland: Pump Price for Diesel Fuel (US$ per Liter)  ,Slovak Rep: Pump Price for Diesel Fuel (US$ per Liter)  ,Slovenia: Pump Price for Diesel Fuel (US$ per Liter)  ,Spain: Pump Price for Diesel Fuel (US$ per Liter)  ,Sweden: Pump Price for Diesel Fuel (US$ per Liter)  ,Switzerland: Pump Price for Diesel Fuel (US$ per Liter)  ,Turkey: Pump Price for Diesel Fuel (US$ per Liter)  ,UK: Pump Price for Diesel Fuel (US$ per Liter)  ,U.S.: Pump Price for Diesel Fuel (US$ per Liter)  ,Brazil: Pump Price for Diesel Fuel (US$ per Liter)  ,Russia: Pump Price for Diesel Fuel (US$ per Liter)  ,India: Pump Price for Diesel Fuel (US$ per Liter)  ,China: Pump Price for Diesel Fuel (US$ per Liter)  ,Indonesia: Pump Price for Diesel Fuel (US$ per Liter)  ,Pakistan: Pump Price for Diesel Fuel (US$ per Liter)  ,Thailand: Pump Price for Diesel Fuel (US$ per Liter)  ,South Africa: Pump Price for Diesel Fuel (US$ per Liter)  ,Nigeria: Pump Price for Diesel Fuel (US$ per Liter)  ,Philippines: Pump Price for Diesel Fuel (US$ per Liter)  ,Malaysia: Pump Price for Diesel Fuel (US$ per Liter)  ,Argentina: Pump Price for Diesel Fuel (US$ per Liter)  ,Ukraine: Pump Price for Diesel Fuel (US$ per Liter)  ,World: Pump Price for Diesel Fuel (US$ per Liter)  ,North America: Pump Price for Diesel Fuel (US$ per Liter)  ,European Union: Pump Price for Diesel Fuel (US$ per Liter)  ,Euro Area: Pump Price for Diesel Fuel (US$ per Liter)  ,Arab League states: Pump Price for Diesel Fuel (US$ per Liter)  ,South Asia: Pump Price for Diesel Fuel (US$ per Liter)  ,East Asia & Pacific: Pump Price for Diesel Fuel (US$ per Liter)  ,Europe & Central Asia: Pump Price for Diesel Fuel (US$ per Liter)  ,Latin America & the Caribbean: Pump Price for Diesel Fuel (US$ per Liter)  ,Middle East & North Africa: Pump Price for Diesel Fuel (US$ per Liter)  ,Sub-Saharan Africa: Pump Price for Diesel Fuel (US$ per Liter)  
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank 
98,98,0.45,0.82,0.85,0.39,0.29,0.60,0.85,0.36,0.79,0.77,0.69,0.40,0.64,0.40,1.02,0.31,0.93,0.69,0.41,0.61,0.28,0.79,1.10,0.44,0.54,0.64,0.70,0.84,0.91,0.47,1.11,0.27,0.34,0.18,0.21,0.25,0.07,0.19,0.27,0.39,0.10,0.22,0.17,0.42,0.25,0.36,0.33,0.64,0.70,0.17,0.25,0.28,0.47,0.31,0.16,0.43
99,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
00,00,0.57,0.74,0.78,0.47,0.47,0.68,0.90,0.55,0.84,0.82,0.78,0.71,0.79,0.45,0.72,0.64,0.83,0.76,0.66,0.67,0.45,0.78,1.15,0.65,0.68,0.66,0.65,0.80,0.84,0.66,1.22,0.48,0.34,0.29,0.39,0.45,0.06,0.27,0.35,0.50,0.27,0.28,0.16,0.52,0.30,0.45,0.48,0.68,0.70,0.21,0.33,0.35,0.59,0.41,0.20,0.47
01,01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02,02,0.48,0.73,0.80,0.43,0.39,0.71,0.94,0.56,0.80,0.80,0.82,0.68,0.85,0.62,0.80,0.62,0.86,0.66,0.64,0.65,0.47,0.81,1.18,0.68,0.70,0.67,0.72,0.96,0.93,0.78,1.20,0.39,0.31,0.25,0.41,0.37,0.19,0.35,0.32,0.40,0.19,0.27,0.19,0.46,0.34,0.43,0.41,0.72,0.72,0.19,0.33,0.37,0.67,0.38,0.19,0.53
03,03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04,04,0.83,1.19,1.07,0.68,0.64,1.07,1.35,0.94,1.21,1.25,1.29,1.23,1.22,0.88,1.29,0.80,1.31,0.95,0.95,0.98,0.45,1.23,1.44,1.09,1.19,1.11,1.10,1.37,1.37,1.12,1.60,0.57,0.49,0.45,0.62,0.43,0.18,0.41,0.37,0.80,0.45,0.34,0.22,0.49,0.44,0.67,0.63,1.12,1.15,0.24,0.49,0.55,1.06,0.57,0.19,0.79
05,05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
