80 *A Disaggregate_First,.EXCEL_FIRST,M193RAIL@WDI,M122RAIL@WDI,M124RAIL@WDI,M156RAIL@WDI,M228RAIL@WDI,M935RAIL@WDI,M128RAIL@WDI,M939RAIL@WDI,M172RAIL@WDI,M132RAIL@WDI,M134RAIL@WDI,M174RAIL@WDI,M944RAIL@WDI,M178RAIL@WDI,M436RAIL@WDI,M136RAIL@WDI,M158RAIL@WDI,M542RAIL@WDI,M137RAIL@WDI,M273RAIL@WDI,M138RAIL@WDI,M196RAIL@WDI,M142RAIL@WDI,M964RAIL@WDI,M182RAIL@WDI,M936RAIL@WDI,M961RAIL@WDI,M184RAIL@WDI,M144RAIL@WDI,M146RAIL@WDI,M186RAIL@WDI,M112RAIL@WDI,M111RAIL@WDI,M223RAIL@WDI,M922RAIL@WDI,M534RAIL@WDI,M924RAIL@WDI,M536RAIL@WDI,M564RAIL@WDI,M578RAIL@WDI,M199RAIL@WDI,M694RAIL@WDI,M566RAIL@WDI,M548RAIL@WDI,M213RAIL@WDI,M926RAIL@WDI,
.DESC,,Australia: Rail Lines (Total Route-Km)  ,Austria: Rail Lines (Total Route-Km)  ,Belgium: Rail Lines (Total Route-Km)  ,Canada: Rail Lines (Total Route-Km)  ,Chile: Rail Lines (Total Route-Km)  ,Czech Rep: Rail Lines (Total Route-Km)  ,Denmark: Rail Lines (Total Route-Km)  ,Estonia: Rail Lines (Total Route-Km)  ,Finland: Rail Lines (Total Route-Km)  ,France: Rail Lines (Total Route-Km)  ,Germany: Rail Lines (Total Route-Km)  ,Greece: Rail Lines (Total Route-Km)  ,Hungary: Rail Lines (Total Route-Km)  ,Ireland: Rail Lines (Total Route-Km)  ,Israel: Rail Lines (Total Route-Km)  ,Italy: Rail Lines (Total Route-Km)  ,Japan: Rail Lines (Total Route-Km)  ,Korea: Rail Lines (Total Route-Km)  ,Luxembourg: Rail Lines (Total Route-Km)  ,Mexico: Rail Lines (Total Route-Km)  ,Netherlands: Rail Lines (Total Route-Km)  ,New Zealand: Rail Lines (Total Route-Km)  ,Norway: Rail Lines (Total Route-Km)  ,Poland: Rail Lines (Total Route-Km)  ,Portugal: Rail Lines (Total Route-Km)  ,Slovak Rep: Rail Lines (Total Route-Km)  ,Slovenia: Rail Lines (Total Route-Km)  ,Spain: Rail Lines (Total Route-Km)  ,Sweden: Rail Lines (Total Route-Km)  ,Switzerland: Rail Lines (Total Route-Km)  ,Turkey: Rail Lines (Total Route-Km)  ,UK: Rail Lines (Total Route-Km)  ,U.S.: Rail Lines (Total Route-Km)  ,Brazil: Rail Lines (Total Route-Km)  ,Russia: Rail Lines (Total Route-Km)  ,India: Rail Lines (Total Route-Km)  ,China: Rail Lines (Total Route-Km)  ,Indonesia: Rail Lines (Total Route-Km)  ,Pakistan: Rail Lines (Total Route-Km)  ,Thailand: Rail Lines (Total Route-Km)  ,South Africa: Rail Lines (Total Route-Km)  ,Nigeria: Rail Lines (Total Route-Km)  ,Philippines: Rail Lines (Total Route-Km)  ,Malaysia: Rail Lines (Total Route-Km)  ,Argentina: Rail Lines (Total Route-Km)  ,Ukraine: Rail Lines (Total Route-Km)  ,
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,
80,80," 7,592 "," 5,857 "," 3,978 ",#N/A," 7,763 ",#N/A," 2,015 ", 993 ," 6,075 "," 34,362 ",#N/A," 2,461 "," 7,614 "," 1,987 ",#N/A," 16,138 "," 22,236 "," 3,135 ",#N/A," 14,225 "," 2,880 "," 4,478 ",#N/A," 27,185 "," 3,609 ",#N/A," 1,058 "," 13,450 "," 11,377 "," 2,943 "," 8,193 "," 17,645 "," 265,842 "," 5,054 "," 82,600 "," 61,240 "," 49,940 "," 6,458 "," 8,817 "," 3,735 "," 23,596 "," 3,512 ",#N/A," 1,639 "," 34,192 "," 22,600 ",
81,81," 7,554 "," 5,811 "," 3,954 ",#N/A," 7,763 ",#N/A," 2,015 "," 1,010 "," 6,092 "," 34,384 ",#N/A," 2,461 "," 7,617 "," 1,987 ", 827 ," 16,162 "," 22,597 "," 3,121 ",#N/A," 14,124 "," 2,880 "," 4,433 ",#N/A," 27,172 "," 3,616 ",#N/A," 1,058 "," 13,543 "," 11,340 "," 2,952 "," 8,193 "," 17,431 "," 261,548 "," 5,052 ",#N/A," 61,230 "," 50,182 "," 6,458 "," 8,817 "," 3,735 "," 23,596 "," 3,512 ",#N/A," 1,639 "," 34,106 "," 22,650 ",
82,82," 7,638 "," 5,777 "," 3,928 "," 52,507 "," 7,763 ",#N/A," 2,015 "," 1,010 "," 6,090 "," 34,595 ",#N/A," 2,461 "," 7,611 "," 1,987 ", 851 ," 16,473 "," 23,371 "," 3,121 ",#N/A," 15,482 "," 2,850 "," 4,418 ",#N/A," 27,158 "," 3,613 ",#N/A," 1,058 "," 13,572 "," 11,760 "," 2,956 "," 8,156 "," 17,431 "," 256,650 "," 5,063 ",#N/A," 61,385 "," 50,591 "," 6,458 "," 8,832 "," 3,735 "," 23,581 "," 3,512 ",#N/A," 1,639 "," 34,029 "," 22,650 ",
83,83," 7,647 "," 5,773 "," 3,860 "," 53,605 "," 7,493 ",#N/A," 2,448 "," 1,010 "," 6,000 "," 34,710 ",#N/A," 2,461 "," 7,612 "," 1,987 ", 859 ," 16,475 "," 23,305 "," 3,117 ",#N/A," 15,480 "," 2,852 "," 4,332 ",#N/A," 27,176 "," 3,613 ",#N/A," 1,058 "," 13,572 "," 11,760 "," 2,961 "," 8,169 "," 17,230 "," 251,418 "," 5,072 ",#N/A," 61,460 "," 51,604 "," 6,458 "," 8,832 "," 3,735 "," 23,664 "," 3,512 ",#N/A," 1,668 "," 34,061 "," 22,650 ",
84,84," 7,450 "," 5,762 "," 3,776 "," 51,697 "," 7,335 ",#N/A," 2,448 "," 1,010 "," 5,998 "," 34,688 ",#N/A," 2,461 "," 7,616 "," 1,944 ", 859 ," 16,420 "," 23,103 "," 3,117 ",#N/A," 15,486 "," 2,852 "," 4,273 ",#N/A," 27,070 "," 3,613 ",#N/A," 1,058 "," 13,575 "," 11,637 "," 2,984 "," 8,169 "," 16,964 "," 245,158 "," 5,072 ",#N/A," 61,850 "," 51,604 "," 6,458 "," 8,832 "," 3,735 "," 23,720 "," 3,512 ",#N/A," 1,668 "," 34,057 "," 22,698 ",
85,85," 7,450 "," 5,766 "," 3,667 "," 51,745 "," 7,227 ",#N/A," 2,471 "," 1,019 "," 5,900 "," 34,676 ",#N/A," 2,461 "," 7,617 "," 1,944 ", 859 ," 16,485 "," 22,801 "," 3,114 ",#N/A," 15,488 "," 2,824 "," 4,273 ",#N/A," 27,092 "," 3,603 ",#N/A," 1,058 "," 12,710 "," 11,266 "," 2,986 "," 8,169 "," 16,803 "," 235,103 "," 5,072 ",#N/A," 61,836 "," 52,119 "," 6,458 "," 8,784 "," 3,735 "," 23,821 "," 3,512 ",#N/A," 1,668 "," 34,159 "," 22,698 ",
86,86," 7,450 "," 5,745 "," 3,618 "," 50,708 "," 7,280 ",#N/A," 2,471 "," 1,019 "," 5,899 "," 34,639 ",#N/A," 2,461 "," 7,616 "," 1,944 ", 865 ," 16,068 "," 21,961 "," 3,113 ",#N/A," 15,783 "," 2,817 "," 4,219 ",#N/A," 27,064 "," 3,603 ",#N/A," 1,100 "," 12,721 "," 11,236 "," 2,986 "," 8,170 "," 16,729 "," 225,905 "," 5,035 ",#N/A," 61,813 "," 52,487 "," 6,458 "," 8,784 "," 3,728 "," 23,790 "," 3,512 ",#N/A," 1,668 "," 34,140 "," 22,700 ",
87,87," 7,315 "," 5,747 "," 3,568 ",#N/A," 6,969 ",#N/A," 2,476 "," 1,019 "," 5,900 "," 34,646 ",#N/A," 2,479 "," 7,619 "," 1,944 ", 869 ," 15,983 "," 21,209 "," 3,130 ",#N/A," 15,783 "," 2,809 "," 4,165 ",#N/A," 26,637 "," 3,608 ",#N/A," 1,100 "," 12,686 "," 11,194 "," 2,990 "," 8,169 "," 16,670 "," 213,258 "," 4,899 ",#N/A," 61,976 "," 52,611 "," 6,458 "," 8,774 "," 3,728 "," 23,607 "," 3,512 ",#N/A," 1,668 "," 34,140 "," 22,700 ",
88,88," 7,196 "," 5,630 "," 3,554 ",#N/A,#N/A,#N/A," 2,476 "," 1,019 "," 5,884 "," 34,563 ",#N/A," 2,479 "," 7,614 "," 1,944 ", 869 ," 16,015 "," 20,934 "," 3,150 ",#N/A," 15,825 "," 2,828 "," 4,257 ",#N/A," 26,545 "," 3,608 ",#N/A," 1,100 "," 12,550 "," 11,076 "," 2,990 "," 8,164 "," 16,630 "," 205,734 "," 4,994 ",#N/A," 61,985 "," 52,767 ",#N/A," 8,775 "," 3,818 "," 23,507 "," 3,512 ",#N/A," 1,668 "," 34,059 "," 22,800 ",
89,89," 7,147 "," 5,641 "," 3,513 ",#N/A,#N/A,#N/A," 2,344 "," 1,026 "," 5,884 "," 34,322 ",#N/A," 2,479 "," 7,619 "," 1,944 ",#N/A," 16,030 "," 20,341 "," 3,131 ",#N/A," 20,351 "," 2,828 "," 4,029 ",#N/A," 26,644 "," 3,064 ",#N/A," 1,196 "," 12,565 "," 11,022 "," 2,994 "," 8,430 "," 16,599 "," 200,381 "," 5,123 ",#N/A," 62,211 "," 53,187 ",#N/A," 8,775 "," 3,728 "," 21,244 "," 3,512 ",#N/A," 1,668 "," 34,059 "," 22,759 ",
90,90," 6,612 "," 5,624 "," 3,479 "," 32,327 "," 6,916 ",#N/A," 2,344 "," 1,026 "," 5,867 "," 34,070 ",#N/A," 2,484 "," 7,617 "," 1,944 ", 574 ," 16,086 "," 20,254 "," 3,091 ",#N/A," 20,351 "," 2,798 "," 4,029 ",#N/A," 26,228 "," 3,064 ",#N/A," 1,196 "," 12,560 "," 10,081 "," 2,978 "," 8,429 "," 16,588 "," 193,158 "," 4,916 "," 85,969 "," 62,367 "," 53,378 ",#N/A," 8,775 "," 3,861 "," 21,617 ",#N/A, 479 ," 1,668 "," 34,059 "," 23,316 ",
