70 *A Disaggregate_First,.EXCEL_FIRST,M193ATDW@WDI,M122ATDW@WDI,M124ATDW@WDI,M156ATDW@WDI,M228ATDW@WDI,M935ATDW@WDI,M128ATDW@WDI,M939ATDW@WDI,M172ATDW@WDI,M132ATDW@WDI,M134ATDW@WDI,M174ATDW@WDI,M944ATDW@WDI,M176ATDW@WDI,M178ATDW@WDI,M436ATDW@WDI,M136ATDW@WDI,M158ATDW@WDI,M542ATDW@WDI,M137ATDW@WDI,M273ATDW@WDI,M138ATDW@WDI,M196ATDW@WDI,M142ATDW@WDI,M964ATDW@WDI,M182ATDW@WDI,M936ATDW@WDI,M961ATDW@WDI,M184ATDW@WDI,M144ATDW@WDI,M146ATDW@WDI,M186ATDW@WDI,M112ATDW@WDI,M111ATDW@WDI,M223ATDW@WDI,M922ATDW@WDI,M534ATDW@WDI,M924ATDW@WDI,M536ATDW@WDI,M564ATDW@WDI,M578ATDW@WDI,M199ATDW@WDI,M694ATDW@WDI,M566ATDW@WDI,M548ATDW@WDI,M213ATDW@WDI,M926ATDW@WDI,M001ATDW@WDI,M009ATDW@WDI,M997ATDW@WDI,M025ATDW@WDI,MALSATDW@WDI,M506ATDW@WDI,MEASATDW@WDI,MECSATDW@WDI,MLCNATDW@WDI,MMEAATDW@WDI,MSSFATDW@WDI
.DESC,,"Australia: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Austria: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Belgium: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Canada: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Chile: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Czech Rep: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Denmark: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Estonia: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Finland: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","France: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Germany: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Greece: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Hungary: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Iceland: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Ireland: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Israel: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Italy: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Japan: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Korea: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Luxembourg: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Mexico: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Netherlands: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","New Zealand: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Norway: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Poland: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Portugal: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Slovak Rep: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Slovenia: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Spain: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Sweden: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Switzerland: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Turkey: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","UK: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","U.S.: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Brazil: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Russia: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","India: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","China: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Indonesia: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Pakistan: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Thailand: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","South Africa: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Nigeria: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Philippines: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Malaysia: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Argentina: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Ukraine: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","World: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","North America: Air Transport, Registered Carrier Departures Worldwide(Mil)  ","European Union: Air Transport, Registered Carrier Departures Worldwide(Mil)  ","Euro Area: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Arab League states: Air Transport, Registered Carrier Departures Worldwide(Mil)  ","South Asia: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","East Asia & Pacific: Air Transport, Registered Carrier Departures Worldwide(Mil)  ","Europe & Cent Asia: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","LA & the Caribbean: Air Transport, Registered Carrier Departures Worldwide (Mil)  ","Middle East & N Africa: Air Trans, Registered Carrier Departures Worldwide (Mil)  ","Sub-Saharan Africa: Air Transport, Registered Carrier Departures Worldwide (Mil)  "
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank 
70,70,0.28,0.01,0.04,0.31,0.02,0.01,0.05,#N/A,0.04,0.22,0.14,0.03,0.01,0.01,0.03,0.01,0.18,0.28,0.02,0.01,0.06,0.08,0.08,0.08,0.03,0.05,#N/A,#N/A,0.15,0.09,0.08,0.03,0.44,5.10,0.14,#N/A,0.10,#N/A,0.02,0.04,0.03,0.04,0.01,0.10,0.03,0.07,#N/A,9.45,5.40,1.65,1.00,0.15,0.16,#N/A,#N/A,0.71,0.16,0.22
71,71,0.29,0.02,0.04,0.29,0.03,0.03,0.06,#N/A,0.05,0.21,0.15,0.04,0.00,0.01,0.03,0.02,0.20,0.40,0.04,0.01,0.05,0.08,0.09,0.10,0.03,0.05,#N/A,#N/A,0.16,0.10,0.09,0.03,0.43,5.00,0.15,#N/A,0.06,#N/A,0.02,0.03,0.03,0.05,0.01,0.07,0.03,0.08,#N/A,9.50,5.29,1.73,1.05,0.15,0.12,#N/A,#N/A,0.68,0.17,0.23
72,72,0.28,0.02,0.04,0.29,0.02,0.04,0.07,#N/A,0.05,0.23,0.17,0.04,0.00,0.01,0.03,0.02,0.20,0.30,0.04,0.01,0.06,0.09,0.09,0.11,0.03,0.06,#N/A,#N/A,0.17,0.10,0.08,0.03,0.44,4.99,0.16,#N/A,0.10,#N/A,0.03,0.02,0.03,0.05,0.01,0.07,0.04,0.08,#N/A,#N/A,5.28,1.82,1.11,0.16,0.14,#N/A,#N/A,0.70,0.18,0.22
73,73,0.26,0.02,0.04,0.35,0.02,0.04,0.07,#N/A,0.06,0.23,0.15,0.05,0.00,0.01,0.03,0.02,0.18,0.31,0.04,0.01,0.09,0.09,0.10,0.12,0.04,0.07,#N/A,#N/A,0.18,0.10,0.09,0.04,0.45,5.06,0.17,#N/A,0.09,#N/A,0.04,0.02,0.03,0.05,0.02,0.07,0.06,0.07,#N/A,9.76,5.41,1.83,1.10,0.17,0.15,#N/A,#N/A,0.71,0.20,0.23
74,74,0.02,0.02,0.04,0.37,0.02,0.04,0.07,#N/A,0.06,0.24,0.18,0.04,0.00,0.01,0.03,0.02,0.19,0.32,0.03,0.01,0.10,0.09,0.10,0.13,0.03,0.07,#N/A,#N/A,0.18,0.10,0.09,0.03,0.43,4.65,0.20,#N/A,0.07,0.02,0.06,0.03,0.03,0.06,0.02,0.06,0.07,0.08,#N/A,9.25,5.02,1.85,1.13,0.20,0.13,0.80,#N/A,0.74,0.23,0.22
75,75,0.02,0.02,0.04,0.36,0.02,0.05,0.07,#N/A,0.06,0.25,0.18,0.04,0.00,0.01,0.03,0.01,0.17,0.31,0.03,0.01,0.11,0.09,0.10,0.14,0.04,0.03,#N/A,#N/A,0.18,0.10,0.09,0.03,0.40,4.58,0.21,#N/A,0.09,0.03,0.07,0.03,0.03,0.06,0.02,0.07,0.07,0.09,#N/A,9.24,4.94,1.78,1.10,0.22,0.16,0.82,#N/A,0.78,0.24,0.25
76,76,0.03,0.02,0.04,0.35,0.01,0.06,0.07,#N/A,0.06,0.26,0.18,0.05,0.00,0.01,0.03,0.01,0.17,0.32,0.03,0.01,0.12,0.09,0.10,0.14,0.04,0.03,#N/A,#N/A,0.18,0.11,0.09,0.03,0.41,4.69,0.21,#N/A,0.09,0.03,0.09,0.04,0.03,0.06,0.02,0.07,0.07,0.09,#N/A,9.56,5.04,1.85,1.12,0.25,0.17,0.85,#N/A,0.80,0.28,0.28
77,77,0.25,0.02,0.04,0.35,0.01,0.05,0.07,#N/A,0.06,0.26,0.18,0.05,0.01,0.01,0.03,0.01,0.17,0.35,0.03,0.01,0.11,0.09,0.09,0.15,0.04,0.03,#N/A,#N/A,0.19,0.10,0.09,0.03,0.41,4.80,0.19,#N/A,0.10,0.03,0.11,0.04,0.03,0.06,0.03,0.06,0.07,0.09,#N/A,9.92,5.14,1.86,1.13,0.27,0.18,1.09,#N/A,0.79,0.31,0.26
