90 *A Disaggregate_First,.EXCEL_FIRST,M193RDTN@WDI,M122RDTN@WDI,M124RDTN@WDI,M156RDTN@WDI,M228RDTN@WDI,M935RDTN@WDI,M128RDTN@WDI,M939RDTN@WDI,M172RDTN@WDI,M132RDTN@WDI,M134RDTN@WDI,M174RDTN@WDI,M944RDTN@WDI,M176RDTN@WDI,M178RDTN@WDI,M436RDTN@WDI,M136RDTN@WDI,M158RDTN@WDI,M542RDTN@WDI,M137RDTN@WDI,M273RDTN@WDI,M138RDTN@WDI,M196RDTN@WDI,M142RDTN@WDI,M182RDTN@WDI,M936RDTN@WDI,M961RDTN@WDI,M184RDTN@WDI,M144RDTN@WDI,M146RDTN@WDI,M186RDTN@WDI,M112RDTN@WDI,M111RDTN@WDI,M223RDTN@WDI,M922RDTN@WDI,M534RDTN@WDI,M924RDTN@WDI,M536RDTN@WDI,M564RDTN@WDI,M578RDTN@WDI,M199RDTN@WDI,M694RDTN@WDI,M566RDTN@WDI,M548RDTN@WDI,M213RDTN@WDI,M926RDTN@WDI
.DESC,,"Australia: Roads, Total Network (Km)  ","Austria: Roads, Total Network (Km)  ","Belgium: Roads, Total Network (Km)  ","Canada: Roads, Total Network (Km)  ","Chile: Roads, Total Network (Km)  ","Czech Rep: Roads, Total Network (Km)  ","Denmark: Roads, Total Network (Km)  ","Estonia: Roads, Total Network (Km)  ","Finland: Roads, Total Network (Km)  ","France: Roads, Total Network (Km)  ","Germany: Roads, Total Network (Km)  ","Greece: Roads, Total Network (Km)  ","Hungary: Roads, Total Network (Km)  ","Iceland: Roads, Total Network (Km)  ","Ireland: Roads, Total Network (Km)  ","Israel: Roads, Total Network (Km)  ","Italy: Roads, Total Network (Km)  ","Japan: Roads, Total Network (Km)  ","Korea: Roads, Total Network (Km)  ","Luxembourg: Roads, Total Network (Km)  ","Mexico: Roads, Total Network (Km)  ","Netherlands: Roads, Total Network (Km)  ","New Zealand: Roads, Total Network (Km)  ","Norway: Roads, Total Network (Km)  ","Portugal: Roads, Total Network (Km)  ","Slovak Rep: Roads, Total Network (Km)  ","Slovenia: Roads, Total Network (Km)  ","Spain: Roads, Total Network (Km)  ","Sweden: Roads, Total Network (Km)  ","Switzerland: Roads, Total Network (Km)  ","Turkey: Roads, Total Network (Km)  ","UK: Roads, Total Network (Km)  ","U.S.: Roads, Total Network (Km)  ","Brazil: Roads, Total Network (Km)  ","Russia: Roads, Total Network (Km)  ","India: Roads, Total Network (Km)  ","China: Roads, Total Network (Km)  ","Indonesia: Roads, Total Network (Km)  ","Pakistan: Roads, Total Network (Km)  ","Thailand: Roads, Total Network (Km)  ","South Africa: Roads, Total Network (Km)  ","Nigeria: Roads, Total Network (Km)  ","Philippines: Roads, Total Network (Km)  ","Malaysia: Roads, Total Network (Km)  ","Argentina: Roads, Total Network (Km)  ","Ukraine: Roads, Total Network (Km)  "
.LSOURCE,,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank ,World Bank 
90,90," 810,264 "," 107,838 "," 138,876 "," 825,743 "," 79,593 ",#N/A," 70,922 ",#N/A," 76,407 "," 885,600 "," 606,461 "," 116,070 "," 105,774 "," 11,378 "," 92,303 "," 13,199 ",#N/A," 249,589 "," 56,715 "," 5,091 "," 239,235 "," 104,590 "," 92,674 "," 88,922 "," 65,500 ",#N/A,#N/A,#N/A,#N/A," 71,099 "," 367,409 "," 358,034 "," 6,243,163 "," 1,670,148 "," 884,000 "," 2,000,000 ",#N/A," 288,727 "," 169,202 "," 72,170 ",#N/A," 122,000 "," 160,558 ",#N/A,#N/A," 167,804 "
91,91," 828,000 "," 112,208 "," 139,341 "," 849,404 "," 79,593 ",#N/A," 71,042 ",#N/A," 76,631 "," 890,750 "," 636,282 "," 116,000 "," 105,930 "," 11,291 "," 92,327 "," 13,409 ",#N/A," 254,442 "," 58,088 "," 5,097 "," 242,294 "," 104,831 "," 93,191 "," 89,135 "," 66,595 ",#N/A,#N/A,#N/A,#N/A," 71,106 "," 367,608 "," 359,966 "," 6,257,882 "," 1,661,850 "," 893,000 "," 2,350,365 ",#N/A," 313,897 "," 177,410 "," 52,339 ",#N/A," 137,000 "," 160,710 ",#N/A,#N/A," 168,979 "
92,92," 844,000 "," 109,045 "," 139,922 "," 901,903 "," 79,800 ",#N/A," 71,040 ",#N/A," 76,755 "," 891,200 "," 639,805 "," 116,150 "," 158,711 "," 11,373 "," 92,327 "," 13,623 ",#N/A," 258,745 "," 58,905 "," 5,108 "," 243,856 "," 104,831 "," 93,348 "," 89,737 "," 67,719 ",#N/A,#N/A,#N/A,#N/A," 71,118 "," 386,704 "," 362,310 "," 6,277,859 "," 1,661,850 ",#N/A," 2,021,441 ",#N/A," 319,758 "," 190,431 "," 54,388 ",#N/A," 147,000 "," 160,843 ",#N/A,#N/A," 169,964 "
93,93," 860,000 "," 129,419 "," 140,729 ",#N/A," 79,800 ",#N/A," 71,111 ",#N/A," 77,499 "," 891,600 "," 640,200 "," 117,000 "," 158,565 "," 11,279 "," 92,345 "," 13,929 ",#N/A," 264,308 "," 61,296 "," 5,113 "," 243,203 "," 118,100 "," 92,306 "," 90,502 "," 68,901 ",#N/A,#N/A,#N/A,#N/A," 71,134 "," 388,093 "," 384,839 "," 6,284,038 "," 1,824,364 ",#N/A," 2,114,498 ",#N/A," 344,892 "," 197,093 "," 56,903 ",#N/A," 164,000 "," 160,882 ",#N/A,#N/A," 170,518 "
94,94," 878,000 "," 129,282 "," 141,430 ",#N/A," 79,800 ",#N/A," 71,255 ",#N/A," 77,644 "," 892,500 "," 611,604 "," 117,000 "," 158,633 "," 11,500 "," 92,500 "," 14,392 ",#N/A," 269,595 "," 78,833 "," 5,134 "," 303,414 "," 120,000 "," 92,700 "," 90,178 "," 67,511 ",#N/A,#N/A,#N/A,#N/A," 71,027 "," 381,028 "," 385,557 "," 6,286,973 "," 1,824,364 ",#N/A," 2,142,791 ",#N/A," 356,878 "," 203,484 "," 59,500 ",#N/A," 171,268 "," 160,948 ",#N/A,#N/A," 172,315 "
95,95," 896,000 "," 130,023 "," 143,175 "," 901,902 "," 79,032 ",#N/A," 71,255 ",#N/A," 77,722 "," 892,700 "," 641,860 "," 117,000 "," 158,633 "," 12,378 "," 92,500 "," 14,751 ",#N/A," 274,885 "," 74,237 "," 5,136 "," 307,983 "," 122,000 "," 91,875 "," 90,261 "," 68,732 "," 42,440 ",#N/A,#N/A,#N/A," 71,055 "," 381,300 "," 386,401 "," 6,296,107 "," 1,657,769 ",#N/A," 2,173,241 ",#N/A," 327,227 "," 214,232 "," 62,000 "," 331,265 "," 193,198 "," 160,970 ",#N/A,#N/A," 172,257 "
96,96," 913,000 "," 129,055 "," 144,913 ",#N/A," 79,068 ",#N/A," 71,321 ",#N/A," 77,782 "," 892,500 "," 656,076 "," 117,000 "," 158,633 "," 12,341 "," 92,500 "," 15,149 ",#N/A," 279,886 "," 82,342 "," 5,161 "," 312,301 "," 124,100 "," 91,864 "," 91,323 ",#N/A," 42,439 ",#N/A,#N/A,#N/A," 71,117 "," 381,631 "," 386,983 "," 6,308,086 "," 1,980,000 ",#N/A," 2,367,062 ",#N/A," 336,377 "," 224,931 "," 64,600 "," 357,596 "," 193,198 "," 161,264 ",#N/A,#N/A," 172,565 "
97,97,#N/A," 129,405 "," 145,850 ",#N/A," 79,077 ",#N/A," 71,336 ",#N/A," 77,796 "," 892,900 "," 656,074 "," 117,000 ",#N/A," 12,691 "," 92,500 "," 15,583 "," 478,272 "," 284,612 "," 84,968 "," 5,171 "," 323,977 "," 124,825 "," 91,967 "," 91,180 ",#N/A," 42,606 ",#N/A,#N/A,#N/A," 71,048 "," 382,397 "," 387,893 "," 6,348,227 "," 1,658,677 ",#N/A," 2,465,877 ",#N/A," 341,467 "," 236,521 "," 64,600 "," 357,596 "," 194,394 "," 161,313 ",#N/A,#N/A," 172,378 "
