Countries,Label,Overall,Security,Political,Government,Legal,Macro,Trade,Financial,Tax,Labor,Infrastructure
Syria,5,88,100,90,100,88,90,89,96,63,79,84
Somalia,5,86,100,95,100,90,50,82,96,75,71,100
Guinea,4,78,64,65,89,88,45,82,83,81,82,97
Sudan,4,78,75,80,89,75,75,89,83,50,75,84
Venezuela,4,78,71,70,93,90,90,79,71,88,68,63
NorthKorea,4,76,43,75,93,98,80,93,92,44,64,75
Afghanistan,4,74,93,90,93,83,60,61,75,44,57,84
Iraq,4,74,96,80,89,78,40,57,71,69,71,91
Uzbekistan,4,74,43,80,100,95,60,82,83,63,57,75
Zimbabwe,4,74,57,65,96,90,65,93,67,69,75,59
Congo,4,73,71,75,93,85,35,57,71,75,71,100
Yemen,4,73,89,80,89,78,60,43,88,44,71,84
CAR,4,72,89,85,93,83,45,50,63,50,68,91
Turkmenistan,4,72,39,65,100,100,45,82,83,69,64,72
Iran,4,71,36,75,82,83,85,96,79,56,54,59
Tajikistan,4,71,50,80,96,88,50,75,83,50,57,84
Eritrea,4,70,43,65,86,95,45,86,71,69,64,81
Nigeria,4,69,89,65,89,83,45,71,54,44,68,84
Belarus,4,68,39,65,89,90,85,71,75,50,50,69
Myanmar,4,68,61,55,86,85,45,64,75,56,61,91
Chad,4,67,57,70,93,80,25,54,67,56,75,91
Ukraine,4,67,79,75,75,78,75,57,71,44,50,63
Burundi,4,66,57,70,89,73,40,50,75,63,57,84
Argentina,4,65,43,55,61,75,100,75,63,69,64,50
Pakistan,4,65,86,60,79,58,50,75,63,50,50,78
Libya,4,64,71,75,86,85,25,57,75,31,64,69
Niger,4,64,71,75,68,75,20,46,63,38,86,94
Honduras,4,63,64,50,93,68,30,43,75,44,82,78
EquatorialGuinea,4,62,39,60,96,80,30,57,67,56,64,66
KyrgyzRepublic,4,62,57,55,82,85,40,46,79,50,54,75
Mauritania,4,62,50,60,79,60,30,54,83,63,64,81
Algeria,4,61,57,60,71,78,15,57,71,69,71,63
Congo,4,61,46,70,89,75,0,64,67,63,68,69
Ethiopia,4,61,43,65,75,78,45,64,67,50,61,63
Nepal,4,61,54,55,82,78,45,54,38,50,75,78
Russia,4,61,61,65,82,70,60,57,63,50,50,50
